ASD Acronym,Designation,Title of Standard,Project Action,Date SA PINS,Date SA BSR8,Date Final Action,PR status,CON_id::Email,__pk_PSA_id
3-A,ANSI/3A 00-01-2018,3-A Sanitary Standard for General Requirements,(revision and redesignation of ANSI/3-A 00-00-2014),12/25/2015,10/07/2016,02/01/2018,Approved,erics@3-a.org,170086
A3,ANSI/A3 R15.08-2-2023,Industrial Mobile Robots - Safety Requirements - Part 2: Requirements for IMR system(s) and IMR application(s),(new standard),03/06/2015,04/21/2023,07/18/2023,Approved,cfranklin@automate.org,191810
A3,ANSI/RIA R15.06-2012,Industrial Robots and Robot Systems - Safety Requirements,(national adoption of ISO 10218-1 & -2:2011 with modifications and revision of ANSI/RIA R15.06-1999 (R2009) & ANSI/RIA/ISO 10218-1-2007),12/11/2009,07/20/2012,03/28/2013,Approved,cfranklin@automate.org,151725
A3,ANSI/RIA R15.08-1-2020,Industrial Mobile Robots -- Safety Requirements -- Part 1: Requirements for the IndustrialMobile Robot,(new standard),03/06/2015,09/18/2020,12/18/2020,Approved,cfranklin@automate.org,167735
AA (ASC H35),ANSI H35.1/H35.1 (M)-2024,Alloy and Temper Designation Systems for Aluminum,(revision of ANSI H35.1/H35.1 (M)-2017),,10/13/2023,01/11/2024,Approved,smuhamed@aluminum.org,193321
AA (ASC H35),ANSI H35.1/H35.1(M)-2017,Standard Alloy and Temper Designation Systems for Aluminum,(revision of ANSI H35.1/H35.1(M)-2013),11/18/2016,03/31/2017,11/14/2017,Approved,jweritz@aluminum.org,172563
AA (ASC H35),ANSI H35.2-2024,Dimensional Tolerances for Aluminum Mill Products,(revision of ANSI H35.2-2017),04/06/2018,10/13/2023,01/11/2024,Approved,smuhamed@aluminum.org,193326
AA (ASC H35),ANSI H35.2-2024 (M),Dimensional Tolerances for Aluminum Mill Products - Metric,(revision of ANSI H35.2-2017),04/06/2018,10/13/2023,01/11/2024,Approved,smuhamed@aluminum.org,177006
AA (ASC H35),ANSI H35.2M-2017,Standard Dimensional Tolerances for Aluminum Mill Products,(revision of ANSI H35.2M-2013),11/18/2016,03/31/2017,11/14/2017,Approved,jweritz@aluminum.org,172630
AA (ASC H35),ANSI H35.3-2017 (R2024),Designation System for Aluminum Hardeners,(reaffirmation of ANSI H35.3-2017),,10/13/2023,01/11/2024,Approved,smuhamed@aluminum.org,193325
AA (ASC H35),ANSI H35.4-2017 (R2024),Designation System for Unalloyed Aluminum,(reaffirmation of ANSI H35.4-2017),,10/13/2023,01/11/2024,Approved,smuhamed@aluminum.org,193324
AA (ASC H35),ANSI H35.5-2013 (R2024),Nomenclature System for Aluminum Metal Matrix Composite Materials,(reaffirmation of ANSI H35.5-2013 (R2017)),,10/13/2023,01/11/2024,Approved,smuhamed@aluminum.org,193323
AABC,ANSI/AABC MN-1-2016,"AABC National Standards for Total System Balance, 7th Edition",(new standard),12/28/2012,06/26/2015,12/04/2015,Approved,info@aabc.com,161677
AAFS,ANSI/AAFS ASB BPR 052-2022,Best Practice Recommendation for the Detection and Collection of Footwear and Tire Impression Evidence,(new standard),11/01/2019,02/19/2021,02/04/2022,Approved,tambrosius@aafs.org,181916
AAFS,ANSI/AAFS ASB STD 098-2023,Standard for Mass Spectral Analysis in Forensic Toxicology,(new standard),08/17/2018,10/08/2021,02/10/2023,Approved,tambrosius@aafs.org,178239
AAFS,ANSI/AAFS ASB Std 111-2020,Standard for Training in Mitochondrial DNA (mtDNA) Analysis for Taxonomic Identification,(new standard),02/08/2019,10/18/2019,06/22/2020,Approved,tambrosius@aafs.org,179476
AAFS,ANSI/AAFS ASB STD 113-2023,Standard for Identification Criteria in Forensic Toxicology,(new standard),04/19/2019,10/08/2021,02/10/2023,Approved,tambrosius@aafs.org,180000
AAFS,ANSI/AAFS ASB Std 157-2023,Required Components for a Proficiency Testing Program in Bloodstain Pattern Analysis,(new standard),08/21/2020,01/07/2022,04/24/2023,Approved,tambrosius@aafs.org,184245
