ASD Acronym,Designation, Title of Standard,Abstract,Link
FDACS,ISO 17510 Second Edition 2025-11,Medical devices - Sleep apnoea breathing therapy - Masks and application accessories,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 1-197
FDACS,ISO 7376 Third edition 2020-08 [Including AMD1:2025] ,Anaesthetic and respiratory equipment - Laryngoscopes for tracheal intubation - Amendment 1: Clarification of optical output and illumination requirements [Including Amendment 1 (2025)],Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 1-198
FDACS,ISO 80601-2-70 Third edition 2025-11,Medical electrical equipment - Part 2-70: Particular requirements for the basic safety and essential performance of sleep apnoea breathing therapy equipment,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 1-199
FDACS,ISO 7376-2 First edition 2025-09,Anaesthetic and respiratory equipment - Part 2: Video laryngoscopes ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 1-200
FDACS,ISO 19223-2 First edition 2025-04,Lung ventilators and related equipment - Vocabulary and semantics - Part 2: High frequency and jet ventilation.,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 1-201
FDACS,ISO 19223-3 First edition 2025-09,Lung ventilators and related equipment - Vocabulary and semantics - Part 3: Respiratory care,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 1-202
FDACS,ASTM F1984-25,Standard Practice for Testing for Whole Complement Activation in Serum by Solid Materials,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 2-308
FDACS,ASTM F895-25,Standard Test Method for Agar Diffusion Cell Culture Screening for Cytotoxicity,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 2-309
FDACS,ASTM F748-25,Standard Practice for Selecting Generic Biological Test Methods for Materials and Devices,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 2-310
FDACS,ISO 10993-4 Third edition 2017-04 [Including AMD1:2025],Biological evaluation of medical devices - Part 4: Selection of tests for interactions with blood [Including Amendment 1 (2025)],Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 2-311
FDACS,ASTM F720-24,Standard Practice for Testing Guinea Pigs for Contact Allergens: Guinea Pig Maximization Test,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 2-312
FDACS,IEC 60601-2-31 Edition 3.0 2020-01,Medical electrical equipment - Part 2-31: Particular requirements for the basic safety and essential performance of external cardiac pacemakers with internal power source,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 3-201
FDACS,IEC 60601-2-34 Edition 4.0 2024-10,Medical electrical equipment - Part 2-34: Particular requirements for the basic safety and essential performance of invasive blood pressure monitoring equipment,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 3-202
FDACS,IEC 80601-2-49 Edition 1.1 2024-09 CONSOLIDATED VERSION,Medical electrical equipment - Part 2-49: Particular requirements for the basic safety and essential performance of multifunction patient monitors,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 3-203
FDACS,ISO 9917-1 Third Edition 2025-05,Dentistry - Water-based cements - Part 1: Acid-base cements,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-348
FDACS,ANSI ADA Standard No. 34-2025,Dental Cartridge Syringes,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-349
FDACS,ANSI ASA S3.6-2025,American National Standard Specification for Audiometers,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-350
FDACS,ISO 6877 Fourth edition 2025-08,Dentistry - Endodontic obturating materials,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-351
FDACS,ANSI ASA S3.35-2025,American National Standard Method for Measurement of Performance Characteristics of Hearing Aids Under Simulated Real-Ear Working Conditions,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-352
FDACS,ISO 20127 Third edition 2025-05,Dentistry - Physical properties of powered toothbrushes,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-353
FDACS,ISO 17730 Third edition 2025-09,Dentistry - Fluoride varnishes  ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-354
FDACS,ANSI ADA Standard No. 117-2022,Dentistry - Fluoride Varnishes,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-354
FDACS,ISO 18397 Second edition 2025-07,Dentistry - Powered scaler,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-355
FDACS,ANSI ADA Standard No. 32-2024,Dentistry - Orthodontic Wires,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-356
FDACS,ANSI ADA Standard No. 54-1986 (R2024),Double-Pointed Parenteral Single Use Needles for Dentistry,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-357
FDACS,ANSI ADA Standard No. 95-2020,Endodontics Instruments - Enlargers,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-358
FDACS,ANSI ADA Standard No. 159-2024,Dentistry - Coiled Springs for Use in Orthodontics,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-359
FDACS,ISO 3630-1 Third edition 2019-08,Dentistry - Endodontic instruments - Part 1: General requirements,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-360
FDACS,ANSI ADA Standard No. 101-2021,Endodontic Instruments - General Requirements ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-360
FDACS,ISO 3630-2 Fourth edition 2023-02,Dentistry - Endodontic instruments - Part 2: Enlargers,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-361
FDACS,ISO 3630-3 Third edition 2021-06 Corrected version 2023-05,Dentistry - Endodontic instruments - Part 3: Compactors,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-362
FDACS,ANSI ADA Standard No. 71-2022,Dentistry - Endodontic Instruments: Compactors ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-362
FDACS,ISO 3630-5 Second edition 2020-08,Dentistry - Endodontic instruments - Part 5: Shaping and cleaning instruments ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-363
FDACS,ANSI ADA Standard No. 28-2021,Endodontic Instruments - Shaping and Cleaning Instruments ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-363
FDACS,ISO 3990 First edition 2023-07,Dentistry - Evaluation of antibacterial activity of dental restorative materials luting materials fissure sealants and orthodontic bonding or luting materials,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-364
FDACS,ISO 6873 Third edition 2013-04,Dentistry - Gypsum products,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-365
FDACS,ANSI ADA Standards No. 25-2015 (R2021),Dental Gypsum Products ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-365
FDACS,ISO 7551 Second edition 2023-05,Dentistry - Endodontic absorbent points,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-366
FDACS,ANSI ADA Standard No. 73-2024,Dentistry - Endodontic Absorbent Points ,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-366
FDACS,ISO 9997 Third edition 2020-01,Dentistry - Cartridge Syringes,Visit the link for more information,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfStandards/results.cfm?recognitionnumber= 4-367
