ASD Acronym,Designation,Title of Standard,Abstract,Link
IMDRF,Outcome statement,how we use cookies.,Visit the link for more information,http://www.echa.europa.eu/legal-notice#cookies
IMDRF,Outcome statement,Sign In,Visit the link for more information,https://echa.europa.eu/sso
IMDRF,Outcome statement,About us,Visit the link for more information,https://echa.europa.eu/about-us
IMDRF,Outcome statement,News,Visit the link for more information,https://echa.europa.eu/news
IMDRF,Outcome statement,Contact,Visit the link for more information,https://echa.europa.eu/contact
IMDRF,Outcome statement,Jobs,Visit the link for more information,https://echa.europa.eu/jobs
IMDRF,Outcome statement,Legislation,Visit the link for more information,https://echa.europa.eu/legislation
IMDRF,Outcome statement,Understanding REACH,Visit the link for more information,https://echa.europa.eu/regulations/reach/understanding-reach
IMDRF,Outcome statement,Legislation,Visit the link for more information,https://echa.europa.eu/regulations/reach/legislation
IMDRF,Outcome statement,Understanding CLP,Visit the link for more information,https://echa.europa.eu/regulations/clp/understanding-clp
IMDRF,Outcome statement,Legislation,Visit the link for more information,https://echa.europa.eu/regulations/clp/legislation
IMDRF,Outcome statement,Understanding Biocidal Products Regulation,Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/understanding-bpr
IMDRF,Outcome statement,Biocidal active substances,Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/approval-of-active-substances
IMDRF,Outcome statement,Biocidal products,Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/authorisation-of-biocidal-products
IMDRF,Outcome statement,Understanding Drinking Water Directive,Visit the link for more information,https://echa.europa.eu/understanding-dwd
IMDRF,Outcome statement,Legislation,Visit the link for more information,https://echa.europa.eu/legislation-dwd
IMDRF,Outcome statement,Understanding Prior Informed Consent Regulation,Visit the link for more information,https://echa.europa.eu/regulations/prior-informed-consent/understanding-pic
IMDRF,Outcome statement,Legislation,Visit the link for more information,https://echa.europa.eu/regulations/prior-informed-consent/legislation
IMDRF,Outcome statement,"Understanding Chemical Agents Directive (CAD) and Carcinogens, Mutagens or Reprotoxic substances Directive (CMRD)",Visit the link for more information,https://echa.europa.eu/understanding-cad-and-cmd
IMDRF,Outcome statement,Legislation,Visit the link for more information,https://echa.europa.eu/cad-and-cmd-legislation
