ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
CIOMS,CIOMS Publication,2025 Benefit-Risk Balance for Medicinal Products,Visit the link for more information,https://doi.org/10.56759/gwfz1791,
CIOMS,CIOMS Publication,2025 Severe cutaneous adverse reactions (SCAR),Visit the link for more information,https://cioms.ch/publications/product/scar-report/,
CIOMS,CIOMS Publication,1991 International Guidelines for Ethical Review of Epidemiological Studies,Visit the link for more information,https://cioms.ch/publications/product/1991-international-guidelines-for-ethical-review-of-epidemiological-studies/,
CIOMS,CIOMS Publication,2016 Diretrizes éticas internacionais para pesquisas relacionadas a saúde envolvendo seres humanos,Visit the link for more information,https://cioms.ch/publications/product/diretrizes-eticas-internacionais-para-pesquisas-relacionadas-saude-envolvendo-seres-humanos/,
CIOMS,CIOMS Publication,2016 International ethical guidelines for health-related research involving humans,Visit the link for more information,https://cioms.ch/publications/product/international-ethical-guidelines-for-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,Adverse Drug Reaction Terms Definitions: Respiratory Disorders Skin Disorders,Visit the link for more information,https://cioms.ch/publications/product/adverse-drug-reaction-terms-definitions-respiratory-disorders-skin-disorders/,
CIOMS,CIOMS Publication,Arabic translation: 2016 International ethical guidelines for health-related research involving humans,Visit the link for more information,https://cioms.ch/publications/product/arabic-translation-international-ethical-guidelines-for-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,Battered children and child abuse,Visit the link for more information,https://cioms.ch/publications/product/battered-children-and-child-abuse/,
CIOMS,CIOMS Publication,Benefit-Risk Balance for Marketed Drugs: Evaluating Safety Signals,Visit the link for more information,https://cioms.ch/publications/product/benefit-risk-balance-for-marketed-drugs-evaluating-safety-signals/,
CIOMS,CIOMS Publication,Biomedical Research Ethics: Updating International Guidelines: A Consultation,Visit the link for more information,https://cioms.ch/publications/product/biomedical-research-ethics-updating-international-guidelines-a-consultation/,
CIOMS,CIOMS Publication,Biomedical Research Involving Animals: Proposed International Guiding Principles,Visit the link for more information,https://cioms.ch/publications/product/biomedical-research-involving-animals-proposed-international-guiding-principles/,
CIOMS,CIOMS Publication,Cardiac & Vascular Diseases (vol. 5),Visit the link for more information,https://cioms.ch/publications/product/cardiac-vascular-diseases-vol-5/,
CIOMS,CIOMS Publication,Chinese translation: 2016 International Ethical Guidelines for Health-related Research Involving Humans,Visit the link for more information,https://cioms.ch/publications/product/chinese-translation-2016-international-ethical-guidelines-for-health-related-research-involving-humans/,
CIOMS,CIOMS Publication,Chinese translation: Management of Safety Information from Clinical Trials,Visit the link for more information,https://cioms.ch/publications/product/chinese-translation-management-of-safety-information-from-clinical-trials/,
CIOMS,CIOMS Publication,Chinese translation: Practical Aspects of Signal Detection in Pharmacovigilance,Visit the link for more information,https://cioms.ch/publications/product/chinese-translation-practical-aspects-signal-detection-pharmacovigilance/,
