ASD Acronym,Designation,Title of Standard,Abstract,Link
ECHA,ECHA,ECHA Legislation,Visit the link for more information,https://echa.europa.eu/legislation
ECHA,REACH,Understanding REACH,Visit the link for more information,https://echa.europa.eu/regulations/reach/understanding-reach
ECHA,REACH,REACH Legislation,Visit the link for more information,https://echa.europa.eu/regulations/reach/legislation
ECHA,CLP,Understanding CLP,Visit the link for more information,https://echa.europa.eu/regulations/clp/understanding-clp
ECHA,CLP,CLP Legislation,Visit the link for more information,https://echa.europa.eu/regulations/clp/legislation
ECHA,Biocidal,Understanding Biocidal Products Regulation,Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/understanding-bpr
ECHA,Biocidal,Biocidal active substances,Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/approval-of-active-substances
ECHA,Biocidal,Biocidal products,Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/authorisation-of-biocidal-products
ECHA,Drinking Water,Understanding Drinking Water Directive,Visit the link for more information,https://echa.europa.eu/understanding-dwd
ECHA,PIC,Understanding Prior Informed Consent Regulation,Visit the link for more information,https://echa.europa.eu/regulations/prior-informed-consent/understanding-pic
ECHA,CAD,"Understanding Chemical Agents Directive (CAD) and Carcinogens, Mutagens or Reprotoxic substances Directive (CMRD)",Visit the link for more information,https://echa.europa.eu/understanding-cad-and-cmd
ECHA,POP,Understanding POPs,Visit the link for more information,https://echa.europa.eu/understanding-pops
ECHA,WFD,Understanding Waste Framework directive,Visit the link for more information,https://echa.europa.eu/understanding-wfd
ECHA,WFD,Waste Framework directive legislation,Visit the link for more information,https://echa.europa.eu/wfd-legislation
ECHA,Batteries,Understanding the batteries regulations,Visit the link for more information,https://echa.europa.eu/understanding-batteries-regulation
ECHA,Cross-Border,Understanding the Regulation on serious cross-border threats to health,Visit the link for more information,https://echa.europa.eu/understanding-the-serious-cross-border-threats-to-health-regulation
ECHA,PPWR,Understanding the Packaging and Packaging Waste Regulation,Visit the link for more information,https://echa.europa.eu/understanding-ppwr
ECHA,PPWR,ECHA's activities under Packaging and Packaging Waste Regulation,Visit the link for more information,https://echa.europa.eu/echas-activities-under-ppwr
ECHA,SOPC,Substances in focus,Visit the link for more information,https://echa.europa.eu/substances-of-potential-concern
ECHA,EUCLEF,EU Chemicals Legislation Finder (EUCLEF),Visit the link for more information,https://echa.europa.eu/euclef
ECHA,Nanomaterials,Nanomaterials,Visit the link for more information,https://echa.europa.eu/regulations/nanomaterials
ECHA,Substitution,Substitution of hazardous chemicals,Visit the link for more information,https://echa.europa.eu/substitution-to-safer-chemicals
ECHA,Appeals,Appeals,Visit the link for more information,https://echa.europa.eu/regulations/appeals
ECHA,Enforcement,Enforcement,Visit the link for more information,https://echa.europa.eu/regulations/enforcement
ECHA,Consultations,Consultations,Visit the link for more information,https://echa.europa.eu/consultations
ECHA,SVHC,Substances of very high concern identification,Visit the link for more information,https://echa.europa.eu/substances-of-very-high-concern-identification
ECHA,Authorisation,Draft recommendation for inclusion in the Authorisation List and consultation,Visit the link for more information,https://echa.europa.eu/recommendation-for-inclusion-in-the-authorisation-list
ECHA,Authorisation,Applications for authorisation,Visit the link for more information,https://echa.europa.eu/applications-for-authorisation-consultation
ECHA,Restrictions,Submitted restrictions under consideration,Visit the link for more information,https://echa.europa.eu/restrictions-under-consideration
ECHA,Calls,Current calls for comments and evidence,Visit the link for more information,https://echa.europa.eu/calls-for-comments-and-evidence
ECHA,Testing,Current Testing Proposals,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/testing-proposals/current
ECHA,Labelling,Harmonised classification and labelling,Visit the link for more information,https://echa.europa.eu/harmonised-classification-and-labelling-consultation
ECHA,Labelling,Harmonised classification and labelling targeted consultations,Visit the link for more information,https://echa.europa.eu/harmonised-classification-and-labelling-targeted-consultations
ECHA,ECHA,Consultations on ECHA Executive Director requests,Visit the link for more information,https://echa.europa.eu/consultation-following-echa-executive-director-request
ECHA,Substitution,Potential candidates for substitution and on derogations conditions,Visit the link for more information,https://echa.europa.eu/current-candidates-for-substitution-and-derogations-conditions
ECHA,Exposure,Consultations - Occupational Exposure Limits,Visit the link for more information,https://echa.europa.eu/oels-pc-on-oel-recommendation
ECHA,Exposure,Calls for evidence - Occupational Exposure Limits,Visit the link for more information,https://echa.europa.eu/oels-cce-current-consultation
ECHA,Consultations,Consulations,Visit the link for more information,https://echa.europa.eu/public-consultations
ECHA,Search,Search for chemicals,Visit the link for more information,https://echa.europa.eu/information-on-chemicals
ECHA,Registration,Registration statistics,Visit the link for more information,https://echa.europa.eu/regulations/reach/registration/registration-statistics
ECHA,Registration,Registered substances,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/registered-substances
ECHA,Inventory,EC Inventory,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/ec-inventory
ECHA,Dossier,Dossier Evaluation status,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/dossier-evaluation-status
ECHA,PACT,PACT - Public Activities Coordination Tool,Visit the link for more information,https://echa.europa.eu/pact
ECHA,CoRAP,Substance Evaluation - CoRAP,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/evaluation/community-rolling-action-plan/corap-table
ECHA,Substances,Information on Candidate List substances in articles,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/candidate-list-substances-in-articles-table
ECHA,REACH,Substances restricted under REACH,Visit the link for more information,https://echa.europa.eu/substances-restricted-under-reach
ECHA,Authorisation,Recommendations for inclusion in the Authorisation List,Visit the link for more information,https://echa.europa.eu/recommendations-for-inclusion-in-the-authorisation-list
ECHA,Authorisation,Authorisation List,Visit the link for more information,https://echa.europa.eu/authorisation-list
ECHA,SVHC,Candidate List of substances of very high concern for Authorisation,Visit the link for more information,https://echa.europa.eu/candidate-list-table
ECHA,Registration,Registry of restriction intentions until outcome,Visit the link for more information,https://echa.europa.eu/registry-of-restriction-intentions
ECHA,SVHC,Registry of SVHC intentions until outcome,Visit the link for more information,https://echa.europa.eu/registry-of-svhc-intentions
ECHA,C&L,C&L Inventory,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/cl-inventory-database
ECHA,CLP,Table of harmonised entries in Annex VI to CLP,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/annex-vi-to-clp
ECHA,CLH,Registry of CLH intentions until outcome,Visit the link for more information,https://echa.europa.eu/registry-of-clh-intentions-until-outcome
ECHA,Biocidal,Biocidal Active Substances,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances
ECHA,Biocidal,Biocidal Products,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/biocidal-products
ECHA,Active Substances,List of active substances and suppliers,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/active-substance-suppliers
ECHA,PIC,Chemicals subject to PIC,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/pic/chemicals
ECHA,Export,Export notifications,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/pic/export-notifications
ECHA,Import,Import notifications,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/pic/import-notifications
ECHA,Concent,Explicit consent & waivers,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/pic/explicit-consents-waivers
ECHA,SCIP,SCIP Database,Visit the link for more information,https://echa.europa.eu/scip-database
ECHA,EUCLEF,EUCLEF,Visit the link for more information,https://echa.europa.eu/information-on-chemicals/euclef
ECHA,POPs,List of substances subject to the POPs Regulation,Visit the link for more information,https://echa.europa.eu/list-of-substances-subject-to-pops-regulation
ECHA,POPs,List of substances proposed as POPs,Visit the link for more information,https://echa.europa.eu/list-of-substances-proposed-as-pops
ECHA,Exposure,Occupational exposure limits - Activity list,Visit the link for more information,https://echa.europa.eu/oels-activity-list
ECHA,SVHC,Authorisation of use of SVHC,Visit the link for more information,https://echa.europa.eu/applications-for-authorisation-previous-consultations
ECHA,MSC,SVHC identification (MSC),Visit the link for more information,https://echa.europa.eu/identification-of-svhc
ECHA,MSC,Draft recommendation (MSC),Visit the link for more information,https://echa.europa.eu/role-of-the-member-state-committee-in-the-authorisation-process
ECHA,MSC,Draft CoRAP update (MSC),Visit the link for more information,https://echa.europa.eu/about-us/who-we-are/member-state-committee/opinions-on-draft-corap
ECHA,RAC,Harmonised classification and labelling (RAC),Visit the link for more information,https://echa.europa.eu/opinions-of-the-committee-for-risk-assessment-on-proposals-for-harmonised-classification-and-labelling
ECHA,BPC,Active substance approval (BPC),Visit the link for more information,https://echa.europa.eu/regulations/biocidal-products-regulation/approval-of-active-substances/bpc-opinions-on-active-substance-approval
ECHA,BPC,Union Authorisation (BPC),Visit the link for more information,https://echa.europa.eu/bpc-opinions-on-union-authorisation
ECHA,RAC,Executive Director request (RAC),Visit the link for more information,https://echa.europa.eu/about-us/who-we-are/committee-for-risk-assessment/opinions-of-the-rac-adopted-under-specific-echa-s-executive-director-requests
ECHA,SEAC,Executive Director request (SEAC),Visit the link for more information,https://echa.europa.eu/opinions-of-the-seac-adopted-under-specific-echa-s-executive-director-requests
ECHA,MSC,Executive Director request (MSC),Visit the link for more information,https://echa.europa.eu/about-us/who-we-are/member-state-committee/opinions-of-the-msc-adopted-under-specific-echa-s-executive-director-requests
ECHA,Support,Support,Visit the link for more information,https://echa.europa.eu/support
ECHA,REACH,Guidance on REACH,Visit the link for more information,https://echa.europa.eu/guidance-documents/guidance-on-reach
ECHA,Registration,Registration,Visit the link for more information,https://echa.europa.eu/support/registration
ECHA,Substance,Substance identification,Visit the link for more information,https://echa.europa.eu/support/substance-identification
ECHA,Check,Technical completeness check,Visit the link for more information,https://echa.europa.eu/technical-completeness-check
ECHA,Testing,Testing methods and alternatives,Visit the link for more information,https://echa.europa.eu/support/testing-methods-and-alternatives
ECHA,Application,How to apply for authorisation,Visit the link for more information,https://echa.europa.eu/applying-for-authorisation
ECHA,Restrictions,Restriction,Visit the link for more information,https://echa.europa.eu/support/restriction
ECHA,Submission,How to submit downstream user reports,Visit the link for more information,https://echa.europa.eu/support/dossier-submission-tools/reach-it/downstream-user-report
ECHA,REACH,Socio-economic Analysis in REACH,Visit the link for more information,https://echa.europa.eu/support/socio-economic-analysis-in-reach
ECHA,CLP,Guidance on CLP,Visit the link for more information,https://echa.europa.eu/guidance-documents/guidance-on-clp
ECHA,CLH,Submission of CLH dossiers,Visit the link for more information,https://echa.europa.eu/support/clh
ECHA,Classification,Mixture classification,Visit the link for more information,https://echa.europa.eu/support/mixture-classification
ECHA,BPR,Guidance on BPR,Visit the link for more information,https://echa.europa.eu/guidance-documents/guidance-on-biocides-legislation
ECHA,Emissions,Emission scenario documents,Visit the link for more information,https://echa.europa.eu/guidance-documents/guidance-on-biocides-legislation/emission-scenario-documents
ECHA,PIC,Guidance on PIC,Visit the link for more information,https://echa.europa.eu/guidance-documents/guidance-on-pic
ECHA,DWD,Guidance on DWD,Visit the link for more information,https://echa.europa.eu/guidance-documents/guidance-on-dwd
ECHA,Templates,Formats and templates,Visit the link for more information,https://echa.europa.eu/support/guidance-on-reach-and-clp-implementation/formats
ECHA,Publications,Publications,Visit the link for more information,https://echa.europa.eu/publications
ECHA,Webinars,Webinars,Visit the link for more information,https://echa.europa.eu/support/training-material/webinars
ECHA,SME,Small and medium enterprises,Visit the link for more information,https://echa.europa.eu/support/small-and-medium-sized-enterprises-smes
ECHA,ECHA,Getting started with EU chemicals legislation,Visit the link for more information,https://echa.europa.eu/support/getting-started
ECHA,Brexit,The UKs withdrawal from the EU,Visit the link for more information,https://echa.europa.eu/uk-withdrawal-from-the-eu
ECHA,Covid,COVID-19 information,Visit the link for more information,https://echa.europa.eu/covid-19
ECHA,Q&A,Q&As,Visit the link for more information,https://echa.europa.eu/support/qas
ECHA,Help,National Helpdesks,Visit the link for more information,https://echa.europa.eu/support/helpdesks/
ECHA,ECHA,ECHA,Visit the link for more information,https://echa.europa.eu/
ECHA,Guidance,Guidance,Visit the link for more information,https://echa.europa.eu/support/guidance
ECHA,Guidance,Guidance Documents,Visit the link for more information,https://echa.europa.eu/guidance-documents
ECHA,Guidance,Fact Sheets,Visit the link for more information,https://echa.europa.eu/publications/fact-sheets
ECHA,Guidance,Practical Guides,Visit the link for more information,https://echa.europa.eu/practical-guides
