ASD Acronym,Designation,Title of Standard,Abstract,Link
FDA,Guidance,M13B Bioequivalence for Immediate-Release Solid Oral Dosage Forms: Additional Strengths Biowaiver: Draft Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m13b-bioequivalence-immediate-release-solid-oral-dosage-forms-additional-strengths-biowaiver
FDA,Guidance,Replacing Color Additives in Approved or Marketed Drug Products,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/replacing-color-additives-approved-or-marketed-drug-products
FDA,Guidance,"Electronic Submission Template for Medical Device Q-Submissions",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/electronic-submission-template-medical-device-q-submissions
FDA,Guidance,"Requests for Feedback and Meetings for Medical Device Submissions:The Q-Submission Program",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/requests-feedback-and-meetings-medical-device-submissions-q-submission-program
FDA,Guidance,"Recommendations to Reduce the Risk of Transmission of Disease Agents Associated with Sepsis by Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps):  Guidance for Industry",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-reduce-risk-transmission-disease-agents-associated-sepsis-human-cells-tissues-and
FDA,Guidance,"Recommendations to Reduce the Risk of Transmission of Mycobacterium tuberculosis (Mtb) by Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps):  Guidance for Industry",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-reduce-risk-transmission-mycobacterium-tuberculosis-mtb-human-cells-tissues-and
FDA,Guidance,Evaluation of Sex-Specific Data in Medical Device Clinical Studies,Visit the link for more information,https://www.fda.gov/media/82005/download
FDA,Guidance,Study Data Technical Conformance Guide - Technical Specifications Document,Visit the link for more information,https://www.fda.gov/media/153632/download 
FDA,Guidance,Data Standards Catalog,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-standards-catalog
FDA,Guidance,Institutional Review Boards Frequently Asked Questions:  Guidance for Institutional Review Boards and Clinical Investigators,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/institutional-review-boards-frequently-asked-questions
FDA,Guidance,Institutional Review Board (IRB) Written Procedures:  Guidance for Institutions and IRBs,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/institutional-review-board-irb-written-procedures
FDA,Guidance,Evaluation of Sex Differences in Clinical Investigations:  Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/evaluation-sex-differences-clinical-investigations
FDA,Guidance,Prevention and Treatment of Chemotherapy-Induced Peripheral Neuropathy: Developing Drug and Biological Products in Oncology,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/prevention-and-treatment-chemotherapy-induced-peripheral-neuropathy-developing-drug-and-biological
FDA,Guidance,Recommendations to Reduce the Risk of Transfusion-Transmitted Malaria: Draft Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-reduce-risk-transfusion-transmitted-malaria-0
FDA,Guidance,Premarket Approval Application and Humanitarian Device Exemption Modular Review:  Guidance for Industry and FDA Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/premarket-approval-application-and-humanitarian-device-exemption-modular-review
FDA,Guidance,CVM GFI #187B Heritable Intentional Genomic Alterations in Animals: The Approval Process,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-187b-heritable-intentional-genomic-alterations-animals-approval-process
FDA,Guidance,CVM GFI #294 - Animal Food Ingredient Consultation (AFIC),Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-294-animal-food-ingredient-consultation-afic
FDA,Guidance,Accelerated Approval and Considerations for Determining Whether a Confirmatory Trial is Underway,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/accelerated-approval-and-considerations-determining-whether-confirmatory-trial-underway
FDA,Guidance,Considerations for Including Tissue Biopsies in Clinical Trials,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-including-tissue-biopsies-clinical-trials
FDA,Guidance,CVM GFI #251 - Heritable Intentional Genomic Alterations in Animals of Food-Producing Species for Use as Models of Disease,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-251-heritable-intentional-genomic-alterations-animals-food-producing-species-use-models
FDA,Guidance,CVM GFI #260 - Type VII Veterinary Master File for Research and Development and Risk Reviews,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-260-type-vii-veterinary-master-file-research-and-development-and-risk-reviews
FDA,Guidance,Developing Drugs for Optical Imaging,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/developing-drugs-optical-imaging
FDA,Guidance,Obesity and Overweight: Developing Drugs and Biological Products for Weight Reduction,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/obesity-and-overweight-developing-drugs-and-biological-products-weight-reduction
