ASD Acronym,Designation,Title of Standard,Abstract,Link
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.8)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev8
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.6)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev6
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev. 9, 2021)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev-9
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev. 10, 2023)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev-10
GHS,Guidance,Manual of Tests and Criteria (rev.7),Visit the link for more information,https://unece.org/transport/publications/manual-tests-and-criteria-rev7
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.7)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev7
GHS,Guidance,Globally Harmonized System of Classification and Labelling of Chemicals (GHS),Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.4)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev4
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.5)",Visit the link for more information,https://unece.org/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev5
GHS,Guidance,Globally Harmonized System of Classification and Labelling of Chemicals (GHS),Visit the link for more information,https://unece.org/es/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.4)",Visit the link for more information,https://unece.org/es/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev4
GHS,Guidance,Globally Harmonized System of Classification and Labelling of Chemicals (GHS),Visit the link for more information,https://unece.org/fr/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.4)",Visit the link for more information,https://unece.org/fr/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev4
GHS,Guidance,Globally Harmonized System of Classification and Labelling of Chemicals (GHS),Visit the link for more information,https://unece.org/ru/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.4)",Visit the link for more information,https://unece.org/ru/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev4
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.5)",Visit the link for more information,https://unece.org/es/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev5
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.4)",Visit the link for more information,https://unece.org/ar/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev4
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.5)",Visit the link for more information,https://unece.org/fr/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev5
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.6)",Visit the link for more information,https://unece.org/es/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev6
GHS,Guidance,Globally Harmonized System of Classification and Labelling of Chemicals (GHS),Visit the link for more information,https://unece.org/ar/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.5)",Visit the link for more information,https://unece.org/ru/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev5
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.6)",Visit the link for more information,https://unece.org/fr/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev6
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.5)",Visit the link for more information,https://unece.org/ru/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev5-0
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.5)",Visit the link for more information,https://unece.org/ar/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev5
GHS,Guidance,Globally Harmonized System of Classification and Labelling of Chemicals (GHS),Visit the link for more information,https://unece.org/zh-hans/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs
