ASD Acronym,Designation,Title of Standard,Abstract,Link
IMDRF,IMDRF/MC/N1FINAL:2025 (Edition 8), IMDRF Terms of Reference,Visit the link for more information,https://www.imdrf.org/documents/imdrf-terms-reference
IMDRF,IMDRF/MC/N2FINAL:2025 (Edition 13), IMDRF Standard Operating Procedures,Visit the link for more information,https://www.imdrf.org/documents/imdrf-standard-operating-procedures
IMDRF,IMDRF/NCAR WG/N14 FINAL:2025 (Edition 5),Medical Devices: Post-Market Surveillance: National Competent Authority Report Exchange Criteria and Report Form,Visit the link for more information,https://www.imdrf.org/documents/medical-devices-post-market-surveillance-national-competent-authority-report-exchange-criteria-and-report-form
IMDRF,IMDRF/AE WG/N43,"Terminologies for Categorized Adverse Event Reporting (AER): terms, terminology and codes",Visit the link for more information,https://www.imdrf.org/documents/terminologies-categorized-adverse-event-reporting-aer-terms-terminology-and-codes
IMDRF,IMDRF/AIML WG/N88,Good machine learning practice for medical device development: Guiding principles,Visit the link for more information,https://www.imdrf.org/documents/good-machine-learning-practice-medical-device-development-guiding-principles
IMDRF,IMDRF/SaMD WG/N81,Characterization Considerations for Medical Device Software and Software-Specific Risk,Visit the link for more information,https://www.imdrf.org/documents/characterization-considerations-medical-device-software-and-software-specific-risk
IMDRF,IMDRF MDCE WG/N55,Clinical Evidence - Key Definitions and Concepts,Visit the link for more information,https://www.imdrf.org/documents/clinical-evidence-key-definitions-and-concepts
IMDRF,IMDRF MDCE WG/N56,Clinical Evaluation,Visit the link for more information,https://www.imdrf.org/documents/clinical-evaluation
IMDRF,IMDRF MDCE WG/N57,Clinical Investigation,Visit the link for more information,https://www.imdrf.org/documents/clinical-investigation
IMDRF,IMDRF RPS Communication-24 January 2019,IMDRF RPS Communication - 24 January 2019,Visit the link for more information,https://www.imdrf.org/documents/imdrf-rps-communication-24-january-2019
IMDRF,IMDRF RPS WG/N45,Data Exchange Guidelines - Common Data Elements for Medical Device Identification,Visit the link for more information,https://www.imdrf.org/documents/data-exchange-guidelines-common-data-elements-medical-device-identification
IMDRF,IMDRF/AE WG/N43,"Terminologies for Categorized Adverse Event Reporting (AER): terms, terminology and codes",Visit the link for more information,https://www.imdrf.org/documents/terminologies-categorized-adverse-event-reporting-aer-terms-terminology-and-codes
IMDRF,IMDRF/AE WG/N44,Maintenance of IMDRF AE Terminologies,Visit the link for more information,https://www.imdrf.org/documents/maintenance-imdrf-ae-terminologies
IMDRF,IMDRF/AET WG/N85 FINAL: 2024,Common Data Set for Adverse Event Data Exchange Between IMDRF Regulators,Visit the link for more information,https://www.imdrf.org/documents/common-data-set-adverse-event-data-exchange-between-imdrf-regulators
IMDRF,IMDRF/AET WG/N86 DRAFT: 2024,Considerations for the Selection of IMDRF Adverse Event Terminology,Visit the link for more information,https://www.imdrf.org/sites/default/files/2024-10/IMDRF_Guidance_ConsiderationsForTheSelectionOfAETerminology%20_260724_0_0.docx
IMDRF,IMDRF/AIMD WG/N67 (Edition 1),Machine Learning-enabled Medical Devices: Key Terms and Definitions,Visit the link for more information,https://www.imdrf.org/documents/machine-learning-enabled-medical-devices-key-terms-and-definitions
IMDRF,IMDRF/CYBER WG/N60,Principles and Practices for Medical Device Cybersecurity,Visit the link for more information,https://www.imdrf.org/documents/principles-and-practices-medical-device-cybersecurity
IMDRF,IMDRF/CYBER WG/N70,Principles and Practices for the Cybersecurity of Legacy Medical Devices,Visit the link for more information,https://www.imdrf.org/documents/principles-and-practices-cybersecurity-legacy-medical-devices
IMDRF,IMDRF/CYBER WG/N73,Principles and Practices for Software Bill of Materials for Medical Device Cybersecurity,Visit the link for more information,https://www.imdrf.org/documents/principles-and-practices-software-bill-materials-medical-device-cybersecurity
IMDRF,IMDRF/GRRP WG/N40 FINAL:2024 (Edition 2),"Competence, Training, and Conduct Requirements for Regulatory Reviewers",Visit the link for more information,https://www.imdrf.org/documents/competence-training-and-conduct-requirements-regulatory-reviewers
