ASD Acronym,Designation,Title of Standard,Abstract,Link
IPEC,Article,IPEC Federation statement on the ‘WHO–UNODC Report on Contaminated Medicines and Integrity of the Pharmaceutical Excipients Supply Chain’,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/if-statement-who-unodc-report.html
IPEC,Article,Updated: IPEC Federation Position on Pharmaceutical Excipients GMP Documents,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/if-pp-pharmaceutical-excipients-gmp-documents.html
IPEC,Article,Survey - Testing of High Risk Excipient for DEG/EG,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/survey-deg-eg.html
IPEC,Article,Now available: IPEC Risk Assessment Guide,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-risk-assessment-guide.html
IPEC,Article,IPEC Federation Connect 1/2025,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-federation-connect-1-2025.html
IPEC,Article,Updated: IPEC Quality-by-Design Guide,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-qbd-guide.html
IPEC,Article,IPEC Federation Position Paper on Third Party Audit and Certification Programmes,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/if-pp-third-party-audit-and-certification-programmes.html
IPEC,Article,IPEC Federation Connect 2/2024,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-federation-connect-2-2024.html
IPEC,Article,Updated: IPEC Good Distribution Practices (GDP) Guide,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-gdp-guide.html
IPEC,Article,Insights from the Lhasa Limited and IPEC Europe Nitrites collaborative meeting,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/report-lhasa-ipec-europe-nitrites.html
IPEC,Article,IPEC Federation Connect 1/2024,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-federation-connect-1-2024.html
IPEC,Article,Interview with The Medicine Maker – Keep Your Eye on the Supply,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/interview-with-the-medicine-maker.html
IPEC,Article,Updated: IPEC Position Paper on Role of Excipients in Determining N-Nitrosamine Risks for Drug Products,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-pp-nitrosamines.html
IPEC,Article,Updated: IPEC Quality Agreement Guide and Template(s),"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-qa-guide-templates.html
IPEC,Article,Updated: IPEC Technically Unavoidable Particle Profile (TUPP) Guide,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-tupp.html
IPEC,Article,Updated: IPEC Glossary of Terms and Acronyms,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-glossary-of-terms.html
IPEC,Article,IPEC Federation Position Paper on Supply Chain Security,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/if-pp-supply-chain-security.html
IPEC,Article,IPEC Federation Connect - 1/2023,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-federation-connect-1-2023.html
IPEC,Article,"Now available: Excipient Information Package User Guide and Template, Part IV: Sustainability","Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-eip-sustainability.html
IPEC,Article,Updated: IPEC Significant Change Guide for Pharmaceutical Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-significant-change-guide.html
IPEC,Article,IPEC Questionnaire for Excipient Nitrosamines Risk Evaluation,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/questionnaire-for-excipient-nitrosamines-risk-evaluation.html
IPEC,Article,Updated: IPEC Excipient Stability Guide for Pharmaceutical Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-stability-guide.html
IPEC,Article,Updated: IPEC Certificate of Analysis Guide,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-certificate-of-analysis-guide.html
IPEC,Article,Updated: IPEC-PQG Good Manufacturing Practices Guide for Pharmaceutical Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-pqg-gmp-guide.html
IPEC,Article,Survey - Certificates of Suitability,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/survey-cep.html
IPEC,Article,IPEC Federation Connect - 1/2022,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-federation-connect-1-2022.html
IPEC,Article,IPEC Federation position on The Role of Excipients in Determining N-Nitrosamine Risks for Drug Products,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/if-pp-nitrosamines-2022.html
IPEC,Article,Best Practices document: Multicompendial Compliance Strategy,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/multicompendial-compliance-document.html
IPEC,Article,New IPEC Guide: Safety Guide for Pharmaceutical Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-safety-guide.html
IPEC,Article,Updated IPEC Guide: GDP Audit Guide for Pharmaceutical Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-gdp-audit-guide.html
IPEC,Article,IPEC Federation Connect: new issue,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-federation-connect-01-2021.html
IPEC,Article,Spanish version of the IPEC GDP Guide now available,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/spanish-ipec-gdp-guide.html
IPEC,Article,CPhI article on the importance of Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/novel-excipients-cphi-article.html
IPEC,Article,Updated: Questionnaire for Excipient Nitrosamines Risk Evaluation,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/questionnaire-for-excipient-nitrosamines-risk-evaluation-v3.html
IPEC,Article,Position Paper: Innovative Medicines need Novel Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/novel-excipients-ie-efcg-pp.html
IPEC,Article,IPEC Federation position on Pharmaceutical Lactose used in oral preparations,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/if-pp-lactose.html
IPEC,Article,Updated: IPEC Glossary of Terms and Acronyms,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/ipec-glossary-of-terms-and-acronyms.html
IPEC,Article,New IPEC Guide: Validation Guide for Pharmaceutical Excipients,"Visit the link for more information, email registration may be necessary",https://www.ipec-europe.org/articles/validation-guide-for-pharmaceutical-excipients.html
