ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
ISPE,ISPE Guidance,SMEPAC - Standardized Methodology for the Evaluation of Pharma Airborne Particle Emissions from Containment Systems 3rd Edition,"This Guide was originally titled ISPE Good Practice Guide: Assessing the Particulate Containment Performance of Pharmaceutical Equipment. As in previous editions, this Guide provides principles and standardized methodologies for evaluating the containment capability of equipment used in the pharmaceutical industry under specific, defined conditions. The methodologies include sampling and analysis for airborne emissions and surface deposition of surrogate material processed within the equipment following defined test protocols. These methodologies reflect pragmatic good industrial/occupational hygiene practice. The Guide has been revised to include complex equipment systems, such as continuous manufacturing equipment and processes, and additional information on surrogate selection. The analysis and interpretation of data has been expanded, along with new test protocols and updates to existing ones. This new edition incorporates the lessons learned from numerous containment performance assessments conducted by pharmaceutical industry professionals following the criteria outlined in the Guide. It serves as a tool to be used in conjunction with other industry guides. Intended to have global application, it has been developed to meet the needs of equipment suppliers and users. This the third edition has a new title that reflects what the industry has long referred to as ISPE’s “SMEPAC” Guide.",https://ispe.org/publications/guidance-documents/good-practice-guide-smepac-standardized-methodology-evaluation-pharma-airborne-particle?utm_campaign=2024%20Guidance%20Documents&utm_medium=email&_hsenc=p2ANqtz-_S9QLZKTfUfHW7RA8bk0qKR-ybHmylKHg4o2-H3vT8Vessodc7btDibeQaOkP_evkPb70im6lhKJ8OFuCk2poLxq5igg&_hsmi=343433870&utm_content=343433870&utm_source=hs_email,
ISPE,ISPE Guidance,2023 ISPE Drug Shortages Prevention Model,"The  ISPE Drug Shortages Prevention Model serves as a guide to help prevent drug shortages by providing quality, regulatory, and technical recommendations for the pharmaceutical manufacturing industry. The  ISPE Drug Shortages Task Team developed the model as a follow up to the  ISPE Drug Shortages Prevention Plan that was released in 2014. The model provides expanded guidance that reflects the new insight and best practices that have emerged in the past several years. Experience with large-scale events such as Hurricane Maria and the COVID-19 pandemic, and more recent geopolitical events, have cast a wider lens on global supply chain and distribution vulnerabilities. In parallel, public and civic demand for change has been accelerating new regulatory requirements in some markets and increased pressure is being placed on manufacturers for supply chain resiliency globally.",https://ispe.org/publications/guidance-documents/2023-ispe-drug-shortages-prevention-model,
ISPE,ISPE Guidance,APQ Guide: Change Management (CM) System,"What is the current state of your organization’s Change Management (CM) System? The effective management of change throughout the product lifecycle enables quality improvement and is critical to patient safety, supply reliability, as well as operational effectiveness and efficiency. “Pharmaceutical companies are required to have a Change Management System in place, but an inadequate one may result in ineffective changes that require rework or missed opportunities,” said Guide Lead Lori Chelemedos, Founder/Principal Consultant Pac-Side LLC. “This Guide focuses on how to evaluate and optimize the system a company has, provides tools that can be used to improve the system, and offers guidance on how to improve and develop a Change Management System that is appropriate to a company’s maturity level.” The ISPE APQ Guide: Change Management Systemprovides a quality management framework for assessing and advancing CM system maturity level by evaluating: The ISPE PQLI  Guide: Part 3Change Management System as a Key Element of a Pharmaceutical Quality Systemfocuses on what a CM system is. This  ISPE APQ Guide: Change Management System focuses on how to evaluate and optimize the system that a company has. The  ISPE APQ Guide: Change Management System is the third in the planned four-part series that seeks to improve the state of pharmaceutical quality and ensure sustainable compliance. The Guide Series is part of  ISPE’s newest initiative, Advancing Pharmaceutical Quality (APQ), a comprehensive program for assessing and improving an organization’s quality management maturity. Built upon theICH Q10Pharmaceutical Quality System (PQS) model, the APQ program is an industry-led approach that seeks to advance pharmaceutical quality beyond the submission of data for harmonized, reportable metrics. The program is aligned with international initiatives that promote quality excellence, as well as with the FDA’s interest in quality management maturity and rating the maturity of manufacturing facilities, as cited in their 2019 Drug Shortages report. The result is a program that organizations can leverage to ensure a continuous supply of quality medicines to patients. The APQ Guide Series provides a practical set of tools and systematic approaches for organizations to proactively advance the maturity and effectiveness of the following PQS elements: Each area will be covered in depth using the APQ framework of Assess, Aspire, Act, and Advance, providing tools and Key Performance Indicators (KPIs) for organizations to incorporate into their quality program. Each Guide will contain quantitative and qualitative tools to assess the organization’s current state of quality, diagnose gaps, and identify improvement targetsAssess and Aspire. The Guides will discuss using this information to develop an Improvement Action Plan that the organization can execute and evaluate for effectivenessAct and Advance. The  ISPE APQ Guide: Change Management System focuses on application of the APQ framework to the CM system.",https://ispe.org/publications/guidance-documents/apq-guide-change-management-cm-system,
ISPE,ISPE Guidance,APQ Guide: Corrective Action & Preventive Action (CAPA) System,"What is the current state of your organization’s Corrective Action and Preventive Action (CAPA) System? Is it robust, consistent, and efficient? The ISPE APQ Guide: Corrective Action and Preventive Action (CAPA) Systemprovides a quality management framework for assessing and advancing CAPA system maturity level by evaluating: The  ISPE APQ Guide: Corrective Action and Preventive Action (CAPA) System is the first in the planned four-part series that seeks to improve the state of pharmaceutical quality and ensure sustainable compliance. The Guide Series is part of  ISPE’s newest initiative, Advancing Pharmaceutical Quality (APQ), a comprehensive program for assessing and improving an organization’s quality management maturity. Built upon theICH Q10Pharmaceutical Quality System (PQS) model, the APQ program is an industry-led approach that seeks to advance pharmaceutical quality beyond the submission of data for harmonized, reportable metrics. The program is aligned with international initiatives that promote quality excellence, as well as with the FDA’s interest in quality management maturity and rating the maturity of manufacturing facilities, as cited in their 2019 Drug Shortages report. The result is a program that organizations can leverage to ensure a continuous supply of quality medicines to patients. The APQ Guide Series provides a practical set of tools and systematic approaches for organizations to proactively advance the maturity and effectiveness of the following PQS elements: Each area will be covered in depth using the APQ framework of Assess, Aspire, Act, and Advance, providing tools and Key Performance Indicators (KPIs) for organizations to incorporate into their quality program. Each Guide will contain quantitative and qualitative tools to assess the organization’s current state of quality, diagnose gaps, and identify improvement targetsAssess and Aspire. The Guides will discuss using this information to develop an Improvement Action Plan that the organization can execute and evaluate for effectivenessAct and Advance. The  ISPE APQ Guide: Corrective Action and Preventive Action (CAPA) System focuses on application of the APQ framework to the CAPA system.",https://ispe.org/publications/guidance-documents/corrective-action-preventive-action-capa-system,
ISPE,ISPE Guidance,APQ Guide: Cultural Excellence,"Cultural excellence is the expressed and implied ways in which an organization operates. Excellence in organizational culture is essential for delivering robust and sustained quality performance and ensuring patient-focused outcomes. Culture determines quality outcomes by affecting the organization’s ability to identify and act upon near-miss shortages, ensuring the integrity of its data, assuring transparent problem escalation, and striving for operational excellence. The  ISPE APQ Guide: Cultural Excellence provides a quality management framework for assessing and advancing an organization’s culture of quality by evaluating the following aspects: This APQ Guide builds upon the insight provided in the ISPE Cultural Excellence Report(2017) on quality culture improvements across six dimensions. The Report provided the “what” and why”, while this APQ Guide provides the “how”. The Report also outlined a series of practical and powerful approaches, practices, and tools for improving the impact of culture on the performance outcomes for an organization. It is a valuable companion to this APQ Guide. The  ISPE APQ Guide: Cultural Excellence is the fifth and final guide in the series that seeks to improve the state of pharmaceutical quality and ensure sustainable compliance. The Guide Series is part of  ISPE’s initiative, Advancing Pharmaceutical Quality (APQ), a comprehensive program for assessing and improving an organization’s quality management maturity. Built upon the ICH Q10 Pharmaceutical Quality System (PQS) model, the APQ program is an industry-led approach that seeks to advance pharmaceutical quality beyond the submission of data for harmonized, reportable metrics. The program is aligned with international initiatives that promote quality excellence, as well as with the FDA’s interest in quality management maturity and rating the maturity of manufacturing facilities, as cited in their 2019 Drug Shortages report. The result is a program that organizations can leverage to ensure a continuous supply of quality medicines to patients. The APQ Guide Series provides a practical set of tools and systematic approaches for organizations to proactively advance the maturity and effectiveness of the following PQS topics that are based upon the principles and elements of ICH Q10: Each area is covered in depth using the APQ framework of Assess, Aspire, Act, and Advance, providing tools and Key Performance Indicators (KPIs) for organizations to incorporate into their quality program. Each Guide contains quantitative and qualitative tools to assess the organization’s current state of quality, diagnose gaps, and identify improvement targetsAssess and Aspire. The Guides discuss how to use this information to develop an Improvement Action Plan that the organization can execute and evaluate for effectivenessAct and Advance. The  ISPE APQ Guide: Cultural Excellence focuses on application of the APQ framework to cultural excellence.",https://ispe.org/publications/guidance-documents/apq-guide-cultural-excellence,
ISPE,ISPE Guidance,APQ Guide: Management Responsibilities & Review (MRR),"ICH Q10 sets a clear expectation regarding the role of strong leadership in terms of demonstrating and communicating “strong and visible support for the pharmaceutical quality system.” The  ISPE APQ Guide: Management Responsibilities and Management Review provides a quality management framework for assessing and advancing leadership systems. It provides a systematic and proactive approach to evaluating management responsibilities highlighted in ICH Q10 as well as other key leadership components: The  ISPE APQ Guide: Management Responsibilities and Management Review is the second publication in the APQ Guide series that seeks to improve the state of pharmaceutical quality and ensure sustainable compliance. The Guide Series is part of  ISPE’s initiative, Advancing Pharmaceutical Quality (APQ), a comprehensive program for assessing and improving an organization’s quality management maturity. Note:Each Guide in the APQ Guide series contains two parts. Part 1 covers the key principles of the APQ program and explains the Assess, Aspire, Act, and Advance framework. This prerequisite information is applicable to all PQS elements and is common across each of the APQ Guides. Part 2 of the  ISPE APQ Guide: Management Responsibilities and Management Review covers the practical application of the APQ framework to leadership. Built upon theICH Q10Pharmaceutical Quality System (PQS) model, the APQ program is an industry-led approach that seeks to advance pharmaceutical quality beyond the submission of data for harmonized, reportable metrics. The program is aligned with international initiatives that promote quality excellence, as well as with the FDA’s interest in quality management maturity and rating the maturity of manufacturing facilities, as cited in their 2019 Drug Shortages report. The result is a program that organizations can leverage to ensure a continuous supply of quality medicines to patients. The APQ Guide Series provides a practical set of tools and systematic approaches for organizations to proactively advance the maturity and effectiveness of the following PQS elements: Each area will be covered in depth using the APQ framework of Assess, Aspire, Act, and Advance, providing tools and Key Performance Indicators (KPIs) for organizations to incorporate into their quality program. Each Guide contains quantitative and qualitative tools to assess the organization’s current state of quality, diagnose gaps, and identify improvement targetsAssess and Aspire. The Guides will discuss using this information to develop an Improvement Action Plan that the organization can execute and evaluate for effectivenessAct and Advance. The  ISPE APQ Guide: Management Responsibilities and Management Review focuses specifically on application of the APQ framework to leadership systems.",https://ispe.org/publications/guidance-documents/apq-guide-management-responsibilities-review-mrr,
ISPE,ISPE Guidance,APQ Guide: Process Performance & Product Quality Monitoring System (PPPQMS),"What is the current state of your organization’s Process Performance and Product Quality Monitoring Systems (PPPQMS)? ICH Q10 establishes an expectation for pharmaceutical companies to “plan and execute a system for the monitoring of process performance and product quality to ensure a state of control is maintained.” In addition to maintaining a state of control, an effective PPPQMS enables continual improvement and is key to proactively identifying the need for product quality and process improvements or opportunities for variability reduction based on routine trend reviews. The  ISPE APQ Guide: Process Performance and Product Quality Monitoring System (PPPQMS) provides a quality management framework for assessing and advancing an organization’s PPPQMS maturity level by evaluating the following aspects: The ISPE PQLI  Guide: Part 4Process Performance and Product Quality Monitoring Systemfocuses on what a PPPQMS is. This  ISPE APQ Guide: PPPQMS focuses on how to evaluate and optimize the system that a company has. The  ISPE APQ Guide: PPPQMS is the fourth in the series that seeks to improve the state of pharmaceutical quality and ensure sustainable compliance. The Guide Series is part of  ISPE’s initiative, Advancing Pharmaceutical Quality (APQ), a comprehensive program for assessing and improving an organization’s quality management maturity. Built upon theICH Q10 Pharmaceutical Quality System(PQS) model, the APQ program is an industry-led approach that seeks to advance pharmaceutical quality beyond the submission of data for harmonized, reportable metrics. The program is aligned with international initiatives that promote quality excellence, as well as with the FDA’s interest in quality management maturity and rating the maturity of manufacturing facilities, as cited in their 2019 Drug Shortages report. The result is a program that organizations can leverage to ensure a continuous supply of quality medicines to patients. The APQ Guide Series provides a practical set of tools and systematic approaches for organizations to proactively advance the maturity and effectiveness of the following PQS elements: Each area is covered in depth using the APQ framework of Assess, Aspire, Act, and Advance, providing tools and Key Performance Indicators (KPIs) for organizations to incorporate into their quality program. Each Guide contains quantitative and qualitative tools to assess the organization’s current state of quality, diagnose gaps, and identify improvement targetsAssess and Aspire. The Guides discuss how to use this information to develop an Improvement Action Plan that the organization can execute and evaluate for effectivenessAct and Advance. The  ISPE APQ Guide: PPPQMS focuses on application of the APQ framework to the PPPQMS.",https://ispe.org/publications/guidance-documents/apq-guide-process-performance-product-quality-monitoring-system-pppqms,
ISPE,ISPE Guidance,Baseline Guide Vol 1: Active Pharmaceutical Ingredients,"This revised Guide builds on the original principles of  ISPE’sBaseline  Guide Volume 1, Active Pharmaceutical Ingredients, (originally entitled Bulk Pharmaceutical Chemicals). The ISPE API Baseline Guidealso incorporates and builds on new regulations and guidance, such as: Key features of the Guide include: In addition, the revision of this Guide has provided the opportunity to incorporate specific currentGood Manufacturing Practices(cGMP) considerations for pharmaceutical manufacturing regions outside the U.S., and has recognized and adopted harmonization work, such as the ICH (International Conference on Harmonisation) Q7 Good Manufacturing Practices for Pharmaceutical Ingredients.",https://ispe.org/publications/guidance-documents/baseline-guide-volume-1-active-pharmaceutical-ingredients,
ISPE,ISPE Guidance,Baseline Guide Vol 2: Oral Solid Dosage Forms 3rd Edition,"The new edition of the ISPE Baseline  Guide: Oral Solid Dosage Forms (Third Edition)considers both current and new technologies, such as Process Analytical Technology (PAT) and continuous manufacturing processes. A new chapter  has been added to address containment and cross-contamination in support of the increasing use of highly potent APIs. It also presents an innovative design approach for OSD manufacturing facilities and critical utilities that includes smaller production footprints and space classification considerations and applications.",https://ispe.org/publications/guidance-documents/oral-solid-dosage,
ISPE,ISPE Guidance,Baseline Guide Vol 3: Sterile Product Manufacturing Facilities 3rd Edition,"Hear from two of the guide contributors, Gordon Leichter, PhD, Belimed Life Sciences and Jason Collins, AIA, IPS, on what you will take-away from purchasing this guide including practical and regulatory guidance, harmonization of standards between the US and EU, and more. The ISPE Baseline Guide: Sterile Product Manufacturing Facilities(Third Edition) covers engineering aspects of designing new sterile products manufacturing facilities and modifications of existing facilities. The Guide focuses onhow to provide cost-effective facilitieswhich make best use of available modern technologies to ensure that products of the highest quality are consistently manufactured. Uncertainty about the requirements for regulatory compliance may discourage technological advancement, and can drive up investment and operational costs.  ISPE Baseline Guide: Sterile Product Manufacturing Facilities (Third Edition) aims to offer a consistent interpretation of the latest FDA and EMA guidance, while allowing a flexible and innovative approach to facility design. The Guide is based on key principles such as: the need to understand product and process requirements, use of risk-based approaches, role of barrier and isolator technology, use of consistent terminology for classified environments, categories for processing (open versus closed), and an integrated facility design approach. The  ISPE Baseline Guide: Sterile Product Manufacturing Facilities (Third Edition) is intended for a global audience of engineers, designers, and other professionals involved withfacility design for sterile products manufacturing. Updates for the third edition of the Guide include: harmonized area classification, global facility design approach, Local Protection/Grade A Air Supply (LP/GAAS) for areas within lower classified areas, additional details about barrier and isolator technology, and practical information for particulate monitoring.",https://ispe.org/publications/guidance-documents/sterile-product-manufacturing-facilities-third-edition,
