ASD Acronym,Designation,Title of Standard,Abstract,Link
TEAM-NB,Code of Conduct,Code of Conduct,Visit the link for more information,https://www.team-nb.org/team-nb-documents/#6ca799d95fcd2a6a8
TEAM-NB,Code of Conduct,Code of Conduct V5 2 20260421,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2026/04/Code-of-Conduct-Team-NB-V5-2-20260421.pdf
TEAM-NB,Positions Papers,Positions Papers,Visit the link for more information,https://www.team-nb.org/team-nb-documents/#a3cf1d49b54635209
TEAM-NB,List Position Papers,List Position Papers 20260421,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2026/04/Team-NB-List-PositionPapers-20260421.pdf
TEAM-NB,Position Paper,Position Paper Article61 10 V1 20260421,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2026/04/Team-NB-PositionPaper-Article61-10-V1-20260421.pdf
TEAM-NB,Position Paper,Position Paper BPG TechnicalDocEU MDR 2017 745 V4 20260421,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2026/04/Team-NB-PositionPaper-BPG-TechnicalDocEU-MDR-2017-745-V4-20260421.pdf
TEAM-NB,Position Paper,Position Paper Demonstration of Safety and Performance for Combinatorial Use of Devices or Equipment V1 20260216,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2026/02/Team-NB-PositionPaper-Demonstration-of-Safety-and-Performance-for-Combinatorial-Use-of-Devices-or-Equipment-V1-20260216.pdf
TEAM-NB,Position Paper,Position Paper Annex VII V1 20251216,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/12/Team-NB-PositionPaper-Annex-VII-V1-20251216.pdf
TEAM-NB,Position Paper,Position Paper Annex VII V1 20251216 ExecSum,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/12/Team-NB-PositionPaper-Annex-VII-V1-20251216-ExecSum.pdf
TEAM-NB,Position Paper,Position Paper IVD SARS CoV 2 down classification V1 20251212,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/12/Team-NB-PositionPaper-IVD-SARS-CoV-2-down-classification-V1-20251212.pdf
TEAM-NB,Position Paper,Position Paper MDR Application and appropriate surveillance Transfer agreement V1 20251022,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/11/Team-NB-PositionPaper-MDR-Application-and-appropriate-surveillance-Transfer-agreement-V1-20251022.pdf
TEAM-NB,Position Paper,Position Paper IVDR Significant changes V2,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/10/Team-NB-PositionPaper-IVDR-Significant-changes-V2.pdf
TEAM-NB,Position Paper,Position Paper BPG IVDR V2 20250903,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/09/Team-NB-PositionPaper-BPG-IVDR-V2-20250903.pdf
TEAM-NB,Position Paper,Position Paper Ophan IVDR Medical Devices V1 20250717,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/07/Team-NB-PositionPaper-Ophan-IVDR-Medical-Devices-V1-20250717.pdf
TEAM-NB,Position Paper,Position Paper Software Qualification under the IVDR V2 20250627,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/06/Team-NB-PositionPaper-Software-Qualification-under-the-IVDR-V2-20250627.pdf
TEAM-NB,Position Paper,Position Paper IVDR Certification Process Consensus Document V1 20250409,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/04/Team-NB-PositionPaper-IVDR-Certification-Process-Consensus-Document-V1-20250409.pdf
TEAM-NB,Position Paper,Position Paper EU AI Act V2 20250409,Visit the link for more information,https://www.team-nb.org/wp-content/uploads/2025/04/Team-NB-PositionPaper-EU-AI-Act-V2-20250409.pdf
