ASD Acronym,Designation,Title of Standard,Abstract,Link
EDPB,Other,EDPB contribution to the EBA public consultation on draft regulatory technical standards on AML/CFT,Date: EDPB contribution to the EBA public consultation on draft regulatory technical standards on AML/CFT 22 July 2025 Publication Type: Other Topics: Financial matters English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-07/edpb_contribution_20250708_consultationeba_en.pdf
EDPB,Statements,Statement 4/2025 on the European Commission’s Recommendation on draft non-binding model contractual terms on data sharing under the Data Act,Date: Statement 4/2025 on the European Commission’s Recommendation on draft non-binding model contractual terms on data sharing under the Data Act 14 July 2025 Publication Type: Statements English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-07/edpb_statement_202504_commission-s_draftmcts_dataact_en.pdf
EDPB,Opinion of the Board (Art. 64),Opinion 15/2025 on the draft decision of the Austrian Supervisory Authority (AT SA) regarding the certification criteria of BDO Consulting GmbH,Date: Opinion 15/2025 on the draft decision of the Austrian Supervisory Authority (AT SA) regarding the certification criteria of BDO Consulting GmbH 14 July 2025 Publication Type: Opinion of the Board (Art. 64) Topics: Certification Members: Austria English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-07/edpb_opinion_202515_dbo_certificationcriteria_en.pdf
EDPB,Opinion of the Board (Art. 64),Opinion 13/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Aramex Group,Date: Opinion 13/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Aramex Group 14 July 2025 Publication Type: Opinion of the Board (Art. 64) Topics: Binding Corporate Rules International Transfers of Data Members: Netherlands English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-07/edpb_opinion_202513_bcr-c_aramex_en.pdf
EDPB,Opinion of the Board (Art. 64),Opinion 14/2025 on the draft decision of the Norwegian Supervisory Authority regarding the Controller Binding Corporate Rules of the Wilh. Wilhelmsen Group,Date: Opinion 14/2025 on the draft decision of the Norwegian Supervisory Authority regarding the Controller Binding Corporate Rules of the Wilh. Wilhelmsen Group 10 July 2025 Publication Type: Opinion of the Board (Art. 64) Topics: Binding Corporate Rules International Transfers of Data Members: Norway English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-07/edpb_opinion_202514_bcr-c_wilh-wilhelmsen_en.pdf
EDPB,EDPB/EDPS Joint Opinion,"EDPB-EDPS Joint Opinion 01/2025 on the Proposal for a Regulation on simplification measures for SMEs and SMCs, in particular the record-keeping obligation under Art. 30(5) GDPR","Date: EDPB-EDPS Joint Opinion 01/2025 on the Proposal for a Regulation on simplification measures for SMEs and SMCs, in particular the record-keeping obligation under Art. 30(5) GDPR 9 July 2025 Publication Type: EDPB/EDPS Joint Opinion Topics: EU Legislative proposal and strategy English Download | Language: English",https://www.edpb.europa.eu/system/files/2025-07/edpb_edps_jointopinion_202501_proposalsimplification_en.pdf
EDPB,Statements,"The Helsinki Statement on enhanced clarity, support and engagement","Date: The Helsinki Statement on enhanced clarity, support and engagement 3 July 2025 Publication Type: Statements Topics: Cooperation between authorities Consistency English Download The Helsinki Statement on enhanced clarity, support and engagement | Language: English",https://www.edpb.europa.eu/system/files/2025-07/edpb-statement-20250702-enhanced-clarity-support-engagement_en_0.pdf
EDPB,Other,EDPB comments on European Commission's Guidelines on Art. 28 DSA,Date: EDPB comments on European Commission's Guidelines on Art. 28 DSA 25 June 2025 Publication Type: Other English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-06/edpb_comments_europeancommission_article_28_dsa_en.pdf
EDPB,Opinion of the Board (Art. 64),Opinion 12/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the ASML Group,Date: Opinion 12/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the ASML Group 6 June 2025 Publication Type: Opinion of the Board (Art. 64) Topics: Binding Corporate Rules International Transfers of Data Members: Netherlands English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-06/edpb_opinion_202512_bcr-c_asml_en.pdf
EDPB,Opinion of the Board (Art. 64),Opinion 11/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Signify Group,Date: Opinion 11/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Signify Group 6 June 2025 Publication Type: Opinion of the Board (Art. 64) Topics: Binding Corporate Rules International Transfers of Data Members: Netherlands English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-06/edpb_opinion_202511_bcr-c_signify_en.pdf
EDPB,Guidelines,Guidelines 02/2024 on Article 48 GDPR,Date: Guidelines 02/2024 on Article 48 GDPR 5 June 2025 Publication Type: Guidelines Topics: International Transfers of Data Final version English Download | Language: English,https://www.edpb.europa.eu/system/files/2025-06/edpb_guidelines_202402_article48_v2_en.pdf
EDPB,Opinion of the Board (Art. 64),Opinion 9/2025 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the Worldline Group,Date: Opinion 9/2025 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the Worldline Group 21 May 2025 Publication Type: Opinion of the Board (Art. 64) Topics: Binding Corporate Rules International Transfers of Data Members: France English French Download | Language: English,https://www.edpb.europa.eu/system/files/2025-05/edpb_opinion_202509_bcr-p_worldline_en.pdf
