ASD Acronym,Designation,Title of Standard,Abstract,Link,
MEDDEV,Guidance MEDDEVs,List of guidance MEDDEVs,Visit the link for more information,https://health.ec.europa.eu/document/download/c1a6aa0b-d8c8-498b-8ed4-9f3c6211896d_en,
MEDDEV,MEDDEV 2.1/1,"Definitions of 'medical devices', 'accessory' and 'manufacturer'",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10278/attachments/1/translations,
MEDDEV,MEDDEV 2.1/2 rev.2,Field of application of directive 'active implantable medical devices',Visit the link for more information,https://ec.europa.eu/docsroom/documents/10279/attachments/1/translations,
MEDDEV,MEDDEV 2.1/2.1,Treatment of computers used to program implantable pulse generators,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10280/attachments/1/translations,
MEDDEV,MEDDEV 2.1/3 rev.3,"Borderline products, drug-delivery products and medical devices incorporating an ancillary medicinal substance or human blood derivative",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10328/attachments/1/translations,
MEDDEV,MEDDEV 2.1/4,Interface with other directives – Medical devices Directive 89/336/EEC and Directive 89/686/EEC,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10281/attachments/1/translations,
MEDDEV,Information,Information on the relation between the revised Directive 93/42/EEC concerning medical devices and Directive 89/686/EEC on personal protective equipment,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10262/attachments/1/translations,
MEDDEV,MEDDEV 2.1/5,Medical devices with a measuring function,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10283/attachments/1/translations,
MEDDEV,MEDDEV 2.1/6,Qualification and classification of stand alone software,Visit the link for more information,https://ec.europa.eu/docsroom/documents/17921/attachments/1/translations,
MEDDEV,MEDDEV 2.2/1 rev.1,EMC requirements,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10285/attachments/1/translations,
MEDDEV,MEDDEV 2.2/3 rev.3,'Use by'-date,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10288/attachments/1/translations,
MEDDEV,MEDDEV 2.2/4,Conformity assessment of in vitro fertilisation (IVF) and assisted reproduction technologies (ART) products,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10340/attachments/1/translations,
MEDDEV,MEDDEV 2.4/1 rev.9,Classification of medical devices,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10337/attachments/1/translations,
MEDDEV,Auditing Docs,Quality assurance. Regulatory auditing of quality systems of medical device manufacturers,Visit the link for more information,https://www.imdrf.org/ghtf/archived-documents/auditing-documents,
MEDDEV,MEDDEV 2.5/3 rev.2,Subcontracting quality systems related,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10289/attachments/1/translations,
MEDDEV,MEDDEV 2.5/5 rev.3,Translation procedure,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10286/attachments/1/translations,
MEDDEV,MEDDEV 2.5/6 rev.1,Homogenous batches (verification of manufacturers' products),Visit the link for more information,https://ec.europa.eu/docsroom/documents/10287/attachments/1/translations,
MEDDEV,MEDDEV 2.5/7 rev.1,Conformity assessment of breast implants,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10290/attachments/1/translations,
MEDDEV,MEDDEV 2.5/9 rev.1,Evaluation of medical devices incorporating products containing natural rubber latex,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10321/attachments/1/translations,
MEDDEV,MEDDEV 2.5/10,Guidance document Medical Devices - Conformity assessment procedure - Guideline for Authorised Representatives - MEDDEV 2.5/10,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10339/attachments/1/translations,
MEDDEV,MEDDEV 2.7/1 rev.3,Clinical evaluation: Guide for manufacturers and notified bodies,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10324/attachments/1/translations,
MEDDEV,MEDDEV 2.7/1 rev.4,"	Clinical evaluation: a guide for manufacturers and notified bodies under directives 93/42 and 90/385",Visit the link for more information,https://ec.europa.eu/docsroom/documents/17522/attachments/1/translations/,
MEDDEV,Appendix,Appendix 1: Clinical evaluation on coronary stents,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10324/attachments/2/translations,
MEDDEV,MEDDEV 2.7/2,"Guidance document Medical Devices - Clinical investigation, clinical evaluation - Guide for Competent Authorities in making an assessment of clinical investigation notification",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10329/attachments/1/translations,
MEDDEV,MEDDEV 2.7/3 rev.3,Clinical investigations: serious adverse reporting - SAE reporting form,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10330/attachments/1/translations,
MEDDEV,Form,Serious Adverse Event (SAE) reporting form,Visit the link for more information,https://ec.europa.eu/docsroom/documents/16477/attachments/2/translations,
MEDDEV,MEDDEV 2.7/4,"Guidance document Medical Devices - Clinical investigation, clinical evaluation - Guidelines on Clinical investigations: a guide for manufacturers and notified bodies -",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10336/attachments/1/translations,
MEDDEV,MEDDEV 2.10/2 rev.1,Designation and monitoring of notified bodies,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10291/attachments/1/translations,
MEDDEV,Attachment,Attachment 1 - Guidance on the preparation of a curriculum vitae for a Medical Device Expert,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10291/attachments/2/translations,
MEDDEV,Attachment,"Attachment 2 - Example of a training course format	",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10291/attachments/3/translations,
MEDDEV,Attachment,Attachment 3 - The responsibilities of the Notified Body under the Medical Device Directives Document,Visit the link for more information,https://ec.europa.eu/docsroom/documents/10291/attachments/4/translations,
MEDDEV,Attachment,"	Attachment 4 - Special Rules of accreditation for Certification Bodies of Quality Systems (scope “Sterile Medical Devices”)",Visit the link for more information,https://ec.europa.eu/docsroom/documents/10291/attachments/5/translations,
MEDDEV,MEDDEV 2.12/1 rev.8,Guidance document - Market surveillance - Guidelines on a Medical Devices Vigilance System - MEDDEV 2.12/1 rev.8,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32305/attachments/1/translations,
MEDDEV,Guidance,Additional Guidance Regarding the Vigilance System as outlined in MEDDEV 2.12-1 rev. 8,Visit the link for more information,https://ec.europa.eu/docsroom/documents/36292,
MEDDEV,Form,New manufacturer incident report,Visit the link for more information,https://ec.europa.eu/docsroom/documents/41681,
MEDDEV,Form,New manufacturer incident report for importing XML file* with Adobe Professional,Visit the link for more information,https://ec.europa.eu/docsroom/documents/41682,
MEDDEV,Form,Manufacturer Incidents Report: request for the password to unsecure the MIR form (PDF version),Visit the link for more information,https://ec.europa.eu/eusurvey/runner/mirpwdrequest,
MEDDEV,Form,New manufacturer incident report XSD file and XSL files,Visit the link for more information,https://ec.europa.eu/growth/sites/growth/files/mir-xsd-xsl-7.2.1.zip,
MEDDEV,Guidance,New MIR - Help text,Visit the link for more information,https://ec.europa.eu/docsroom/documents/37350,
MEDDEV,Change Record,New MIR - Changelog,Visit the link for more information,https://ec.europa.eu/docsroom/documents/41223,
MEDDEV,Guidance,Questions and answers document on the implementation of the new MIR form,Visit the link for more information,https://ec.europa.eu/docsroom/documents/41322,
MEDDEV,Form,Field Safety Corrective Action - FSCA,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32305/attachments/4/translations,
MEDDEV,Template,Field Safety Notice,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32521,
MEDDEV,Form,Field Safety Notice - Customer reply,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32516,
MEDDEV,Form,Field Safety Notice Distributor/Importer Reply,Visit the link for more information,https://ec.europa.eu/docsroom/documents/32517,
MEDDEV,Guidance,Questions and Answers to fill in the Field Safety Notice,Visit the link for more information,https://ec.europa.eu/docsroom/documents/31933,
