ASD Acronym,Designation,Title of Standard,Abstract,Link,
PIC/S,PS W 15 2022,2023-2027 PIC/S Strategic Plan,Visit the link for more information,https://picscheme.org/docview/4768,
PIC/S,PI 038-2,Aide Memoire on Assessment of Quality Risk Management (QRM) Implementation,Visit the link for more information,https://picscheme.org/docview/3823,
PIC/S,PI 021-2,Aide Memoire on GMP Particularities for Clinical Trial Products,Visit the link for more information,https://picscheme.org/docview/3456,
PIC/S,PI 024-3,Aide Memoire on Inspection of Biotech,Visit the link for more information,https://picscheme.org/docview/3821,
PIC/S,PI 023-2,Aide Memoire on Inspection of Quality Control Laboratories,Visit the link for more information,https://picscheme.org/docview/3455,
PIC/S,PI 052-1,Aide Memoire on the Inspection of Health Based Exposure Limit (HBEL) Assessments and Use in Quality Risk Management,Visit the link for more information,https://picscheme.org/docview/1947,
PIC/S,PI 009-4,Aide-Memoire Inspection of Utilities,Visit the link for more information,https://picscheme.org/docview/3820,
PIC/S,PI 043-1,Aide-Memoire on Cross-Contamination in Shared Facilities,Visit the link for more information,https://picscheme.org/docview/2270,
PIC/S,PI 025-2,Aide-Memoire on Medicinal Gases,Visit the link for more information,https://picscheme.org/docview/3034,
PIC/S,PI 028-2,Aide-Memoire on Packaging,Visit the link for more information,https://picscheme.org/docview/3822,
PIC/S,PI 030-1,Aide-Memoire on the Inspection of Active Pharmaceutial Ingredients (APIs),Visit the link for more information,https://picscheme.org/docview/3452,
PIC/S,AR 1999,Annual Report 1999,Visit the link for more information,https://picscheme.org/docview/3402,
PIC/S,AR 2000,Annual Report 2000,Visit the link for more information,https://picscheme.org/docview/3403,
PIC/S,AR 2001,Annual Report 2001,Visit the link for more information,https://picscheme.org/docview/3404,
PIC/S,AR 2002,Annual Report 2002,Visit the link for more information,https://picscheme.org/docview/3405,
PIC/S,AR 2003,Annual Report 2003,Visit the link for more information,https://picscheme.org/docview/3406,
PIC/S,AR 2004,Annual Report 2004,Visit the link for more information,https://picscheme.org/docview/3407,
PIC/S,AR 2005,Annual Report 2005,Visit the link for more information,https://picscheme.org/docview/3408,
PIC/S,AR 2006,Annual Report 2006,Visit the link for more information,https://picscheme.org/docview/3409,
PIC/S,AR 2007,Annual Report 2007,Visit the link for more information,https://picscheme.org/docview/3410,
PIC/S,AR 2008,Annual Report 2008,Visit the link for more information,https://picscheme.org/docview/3411,
PIC/S,AR 2009,Annual Report 2009,Visit the link for more information,https://picscheme.org/docview/2885,
PIC/S,AR 2010,Annual Report 2010,Visit the link for more information,https://picscheme.org/docview/3412,
PIC/S,AR 2011,Annual Report 2011,Visit the link for more information,https://picscheme.org/docview/3413,
PIC/S,AR 2012,Annual Report 2012,Visit the link for more information,https://picscheme.org/docview/3414,
PIC/S,AR 2013,Annual Report 2013,Visit the link for more information,https://picscheme.org/docview/3415,
PIC/S,AR 2014,Annual Report 2014,Visit the link for more information,https://picscheme.org/docview/2991,
PIC/S,AR 2015,Annual Report 2015,Visit the link for more information,https://picscheme.org/docview/2990,
PIC/S,AR 2016,Annual Report 2016,Visit the link for more information,https://picscheme.org/docview/2682,
PIC/S,AR 2017,Annual Report 2017,Visit the link for more information,https://picscheme.org/docview/2472,
PIC/S,AR 2018,Annual Report 2018,Visit the link for more information,https://picscheme.org/docview/2256,
PIC/S,AR 2019,Annual Report 2019,Visit the link for more information,https://picscheme.org/docview/3486,
PIC/S,AR 2020,Annual Report 2020,Visit the link for more information,https://picscheme.org/docview/4622,
PIC/S,AR 2021,Annual Report 2021,Visit the link for more information,https://picscheme.org/docview/6615,
PIC/S,AR 2022,Annual Report 2022,Visit the link for more information,https://picscheme.org/docview/6614,
PIC/S,AR 2023,Annual Report 2023,Visit the link for more information,https://picscheme.org/docview/8880,
PIC/S,Concept Paper on the Revision of EU-PIC/S GMP Annex 11,Concept Paper on the Revision of Annex 11 of the Guidelines on Good Manufacturing Practice for Medicinal Products | Computerised Systems,Visit the link for more information,https://picscheme.org/docview/4967,
PIC/S,Concept Paper on the Revision of EU-PIC/S GMP Annex 4,Concept Paper on the Revision of Annex 4 of the Guidelines on Good Manufacturing Practice | Manufacture of Veterinary Medicinal Products other than Immunologicals,Visit the link for more information,https://picscheme.org/docview/4498,
PIC/S,Concept Paper on the Revision of EU-PIC/S GMP Annex 5,Concept Paper on the Revision of Annex 5 of the Guidelines on Good Manufacturing Practice for Medicinal Products | Manufacture of Immunological Veterinary Medicinal Products,Visit the link for more information,https://picscheme.org/docview/4499,
PIC/S,PE 008-4,Explanatory Notes for Pharmaceutical Manufacturers on the Preparation of a Site Master File (SMF),Visit the link for more information,https://picscheme.org/docview/3463,
PIC/S,PI 011-3,Good Practices for Computerised Systems in Regulated GXP Environments,Visit the link for more information,https://picscheme.org/docview/3444,
PIC/S,PI 040-1,Guidance on Classification of GMP Deficiencies,Visit the link for more information,https://picscheme.org/docview/2303,
PIC/S,PI 048-1,Guidance on GMP Inspection Reliance,Visit the link for more information,https://picscheme.org/docview/2475,
PIC/S,PI 005-3,Guidance on Parametric Release,Visit the link for more information,https://picscheme.org/docview/3448,
PIC/S,PE 010-4,Guide to Good Practices for the Preparation of Medicinal Products in Healthcare Establishments,Visit the link for more information,https://picscheme.org/docview/3443,
PIC/S,PI 014-3,Isolators Used for Aseptic Processing and Sterility Testing,Visit the link for more information,https://picscheme.org/docview/3441,
PIC/S,PS ADM 3 2024,Job Description for PIC/S Secretary / Executive Director,Visit the link for more information,https://picscheme.org/docview/8690,
PIC/S,PS W 01 2015,Joint PIC/S-EMA Concept Paper On The Revision Of Annex 1 (Manufacture of Sterile Medicinal Products),Visit the link for more information,https://picscheme.org/docview/3464,
PIC/S,PS INF 72 2000,Non-Technical Aspects of Inspection (PIC/S Seminar 1999 Booklet),Visit the link for more information,https://picscheme.org/docview/2890,
PIC/S,PS/INF 21/2002 (Rev. 28),Participating Authorities,Visit the link for more information,https://picscheme.org/docview/6624,
PIC/S,Brochure,PIA Brochure 2019,Visit the link for more information,https://picscheme.org/docview/2145,
PIC/S,PIC Convention,PIC Convention of 1970,Visit the link for more information,https://picscheme.org/docview/2891,
PIC/S,PI 044-1,PIC/S Aide Memoire Inspection of GDP for Medicinal Products in the Supply Chain,Visit the link for more information,https://picscheme.org/docview/6234,
PIC/S,PI 057-1,PIC/S Aide Memoire on Remote Assessment,Visit the link for more information,https://picscheme.org/docview/9257,
PIC/S,PI 008-4,PIC/S Aide Memoire to Inspections of Blood Establishments and Plasma Warehouses,Visit the link for more information,https://picscheme.org/docview/4214,
PIC/S,PS W 01 2005 (Rev. 3),PIC/S Audit Checklist,Visit the link for more information,https://picscheme.org/docview/4647,
PIC/S,PS W 31 2019,PIC/S Audit Checklist - Interpretation Guide,Visit the link for more information,https://picscheme.org/docview/3549,
PIC/S,Brochure,PIC/S Brochure 2023,Visit the link for more information,https://picscheme.org/docview/6642,
PIC/S,PE 009-17 (Part II),PIC/S GMP Guide (PE 009-17) Part II,Visit the link for more information,https://picscheme.org/docview/6607,
PIC/S,PE 009-17 (Annexes),PIC/S GMP Guide (PE 009-17) Annexes,Visit the link for more information,https://picscheme.org/docview/8881,
PIC/S,PE 009-17 (Intro),PIC/S GMP Guide (PE 009-17) Introduction,Visit the link for more information,https://picscheme.org/docview/6605,
PIC/S,PE 009-17 (Part I),PIC/S GMP Guide (PE 009-17) Part I,Visit the link for more information,https://picscheme.org/docview/6606,
PIC/S,PE 005-4,PIC/S Good Practice Guidelines for Blood Establishments and Hospital Blood Banks,Visit the link for more information,https://picscheme.org/docview/4212,
PIC/S,PI 041-1,PIC/S Good Practices for Data Management and Integrity in Regulated GMP/GDP Environments,Visit the link for more information,https://picscheme.org/docview/4234,
PIC/S,PI 055-1,PIC/S Guidance COVID-19 Risk Assessment for Routine On-Site Inspections,Visit the link for more information,https://picscheme.org/docview/4295,
