ASD Acronym,Designation,Title of Standard,Link
,ISO 13485:2016,Medical devices  Quality management systems  Requirements for regulatory purposes,https://www.iso.org/standard/59752.html
,ISO 13488:1996,Quality systems  Medical devices  Particular requirements for the application of ISO 9002,https://www.iso.org/standard/22101.html
,ISO 14969:1999,Quality systems  Medical devices  Guidance on the application of ISO 13485 and ISO 13488,https://www.iso.org/standard/25800.html
,ISO/TR 14969:2004,Medical devices  Quality management systems  Guidance on the application of ISO 13485: 2003,https://www.iso.org/standard/33752.html
,ISO 14971-1:1998,Medical devices  Risk management  Part 1: Application of risk analysis,https://www.iso.org/standard/25799.html
,ISO 14971:2019,Medical devices  Application of risk management to medical devices,https://www.iso.org/standard/72704.html
,ISO 15223-1:2021 /DAmd 1,Medical devices  Symbols to be used with information to be supplied by the manufacturer  Part 1: General requirements  Amendment 1: Addition of defined term for authorized representative and Modified EC REP symbol to not be country or region specific,https://www.iso.org/standard/86270.html
,ISO 15223-2:2010,Medical devices  Symbols to be used with medical device labels labelling and information to be supplied  Part 2: Symbol development selection and validation,https://www.iso.org/standard/42343.html
,ISO 15223:2000 /Amd 2:2004,Medical devices  Symbols to be used with medical device labels labelling and information to be supplied  Amendment 2,https://www.iso.org/standard/38062.html
,ISO/TR 15223:1998,Medical devices  Symbols to be used with medical device labels labelling and information to be supplied,https://www.iso.org/standard/26496.html
,ISO 15225:2016,Medical devices  Quality management  Medical device nomenclature data structure,https://www.iso.org/standard/63016.html
,ISO 15378:2017 /Amd 1:2024,Primary packaging materials for medicinal products  Particular requirements for the application of ISO 9001:2015 with reference to good manufacturing practice (GMP)  Amendment 1: Climate action changes,https://www.iso.org/standard/88385.html
,ISO 16142-1:2016,Medical devices  Recognized essential principles of safety and performance of medical devices  Part 1: General essential principles and additional specific essential principles for all non-IVD medical devices and guidance on the selection of standards,https://www.iso.org/standard/63939.html
,ISO 16142-2:2017,Medical devices  Recognized essential principles of safety and performance of medical devices  Part 2: General essential principles and additional specific essential principles for all IVD medical devices and guidance on the selection of standards,https://www.iso.org/standard/63940.html
,ISO/TR 16142:2006,Medical devices  Guidance on the selection of standards in support of recognized essential principles of safety and performance of medical devices,https://www.iso.org/standard/38401.html
,ISO/TS 19218-1:2011 /Amd 1:2013,Medical devices  Hierarchical coding structure for adverse events  Part 1: Event-type codes  Amendment 1,https://www.iso.org/standard/58085.html
,ISO/TS 19218-2:2012,Medical devices  Hierarchical coding structure for adverse events  Part 2: Evaluation codes,https://www.iso.org/standard/55590.html
,ISO/TS 19218:2005,Medical devices  Coding structure for adverse event type and cause,https://www.iso.org/standard/33753.html
,ISO/TR 19244:2014,Guidance on transition periods for standards developed by ISO/TC 84  Devices for administration of medicinal products and catheters,https://www.iso.org/standard/64129.html
,ISO 20069:2019,Guidance for assessment and evaluation of changes to drug delivery systems,https://www.iso.org/standard/66945.html
,ISO/TS 20225:2001,Global medical device nomenclature for the purpose of regulatory data exchange,https://www.iso.org/standard/34667.html
,ISO/TR 20416:2020,Medical devices  Post-market surveillance for manufacturers,https://www.iso.org/standard/67942.html
,ISO 20417:2021,Medical devices  Information to be supplied by the manufacturer,https://www.iso.org/standard/67943.html
,ISO/TR 24971:2020,Medical devices  Guidance on the application of ISO 14971,https://www.iso.org/standard/74437.html
,IEC 62304:2006 /Amd 1:2015,Medical device software  Software life cycle processes  Amendment 1,https://www.iso.org/standard/64686.html
,IEC 62366-1:2015 /Cor 1:2016,Medical devices  Part 1: Application of usability engineering to medical devices  Technical Corrigendum 1,https://www.iso.org/standard/72042.html
,IEC 62366:2007 /Amd 1:2014,Medical devices  Application of usability engineering to medical devices  Amendment 1,https://www.iso.org/standard/62780.html
,IEC 80001-1:2021,Application of risk management for IT-networks incorporating medical devices  Part 1: Safety effectiveness and security in the implementation and use of connected medical devices or connected health software,https://www.iso.org/standard/72026.html
,ISO/TR 80001-2-6:2014,Application of risk management for IT-networks incorporating medical devices  Part 2-6: Application guidance  Guidance for responsibility agreements,https://www.iso.org/standard/63108.html
,ISO/TR 80001-2-7:2015,Application of risk management for IT-networks incorporating medical devices  Application guidance  Part 2-7: Guidance for healthcare delivery organizations (HDOs) on how to self-assess their conformance with IEC 80001-1,https://www.iso.org/standard/63509.html
,ISO/TR 80002-2:2017,Medical device software  Part 2: Validation of software for medical device quality systems,https://www.iso.org/standard/60044.html
,IEC 80601-2-77:2019 /Amd 1:2023,Medical electrical equipment  Part 2-77: Particular requirements for the basic safety and essential performance of robotically assisted surgical equipment  Amendment 1,https://www.iso.org/standard/83340.html
,IEC 80601-2-78:2019 /Amd 1:2024,Medical electrical equipment  Part 2-78: Particular requirements for basic safety and essential performance of medical robots for rehabilitation assessment compensation or alleviation  Amendment 1,https://www.iso.org/standard/83341.html
,ISO 32:1977,Gas cylinders for medical use  Marking for identification of content,https://www.iso.org/standard/3659.html
,ISO 407:2023,Small medical gas cylinders  Pin-index yoke-type valve connections,https://www.iso.org/standard/85829.html
,ISO 4135:2022,Anaesthetic and respiratory equipment  Vocabulary,https://www.iso.org/standard/75315.html
,ISO 5356-1:2015,Anaesthetic and respiratory equipment  Conical connectors  Part 1: Cones and sockets,https://www.iso.org/standard/54851.html
,ISO 5356-2:2012 /Amd 1:2019,Anaesthetic and respiratory equipment  Conical connectors  Part 2: Screw-threaded weight-bearing connectors  Amendment 1,https://www.iso.org/standard/76761.html
,ISO 5358:1992,Anaesthetic machines for use with humans,https://www.iso.org/standard/11385.html
,ISO 5359:2014 /Amd 1:2017,Anaesthetic and respiratory equipment  Low-pressure hose assemblies for use with medical gases  Amendment 1,https://www.iso.org/standard/68680.html
,ISO 5360:2016,Anaesthetic vaporizers  Agent-specific filling systems,https://www.iso.org/standard/68417.html
,ISO 5361-1:1988,Tracheal tubes  Part 1: General requirements,https://www.iso.org/standard/11392.html
,ISO 5361-2:1993,Tracheal tubes  Part 2: Oro-tracheal and naso-tracheal tubes of Magill type (plain and cuffed),https://www.iso.org/standard/11394.html
,ISO 5361-3:1984,Tracheal tubes  Part 3: Murphy type,https://www.iso.org/standard/11395.html
,ISO 5361-4:1987,Tracheal tubes  Part 4: Cole type,https://www.iso.org/standard/11397.html
,ISO 5361-5:1984,Tracheal tubes  Part 5: Requirements and methods of test for cuffs and tubes,https://www.iso.org/standard/11398.html
,ISO 5361:2023,Anaesthetic and respiratory equipment  Tracheal tubes and connectors,https://www.iso.org/standard/77497.html
,ISO 5362:2024,Anaesthetic and respiratory equipment  Anaesthetic reservoir bags,https://www.iso.org/standard/84225.html
,ISO 5364:2016,Anaesthetic and respiratory equipment  Oropharyngeal airways,https://www.iso.org/standard/63296.html
,ISO 5366-1:2000,Anaesthetic and respiratory equipment  Tracheostomy tubes  Part 1: Tubes and connectors for use in adults,https://www.iso.org/standard/31207.html
,ISO 5366-2:1993,Tracheostomy tubes  Part 2: Basic requirements for tubes for adults,https://www.iso.org/standard/11409.html
,ISO 5366-3:2001 /Cor 1:2003,Anaesthetic and respiratory equipment  Tracheostomy tubes  Part 3: Paediatric tracheostomy tubes  Technical Corrigendum 1,https://www.iso.org/standard/37896.html
,ISO 5366:2016,Anaesthetic and respiratory equipment  Tracheostomy tubes and connectors,https://www.iso.org/standard/62242.html
,ISO 5367:2023,Anaesthetic and respiratory equipment  Breathing sets and connectors,https://www.iso.org/standard/81540.html
,ISO 5369:1987,Breathing machines for medical use  Lung ventilators,https://www.iso.org/standard/11413.html
,ISO 7228:1993,Tracheal tube connectors,https://www.iso.org/standard/13867.html
,ISO 7376-1:1994,Laryngoscopic fittings  Part 1: Conventional hook-on type handle-blade fittings,https://www.iso.org/standard/14070.html
,ISO 7376-3:1996,Laryngoscopic fittings  Part 3: Fibre-illuminated re-usable rigid laryngoscopes,https://www.iso.org/standard/14074.html
,ISO 7376:2020 /DAmd 1,Anaesthetic and respiratory equipment  Laryngoscopes for tracheal intubation  Amendment 1: Clarification about optical output and illumination requirements,https://www.iso.org/standard/87171.html
,ISO 7396-1:2016 /Amd 1:2017,Medical gas pipeline systems  Part 1: Pipeline systems for compressed medical gases and vacuum  Amendment 1,https://www.iso.org/standard/72456.html
,ISO 7396-2:2007,Medical gas pipeline systems  Part 2: Anaesthetic gas scavenging disposal systems,https://www.iso.org/standard/41945.html
,ISO 7396:1987,Non-flammable medical gas pipeline systems,https://www.iso.org/standard/14111.html
,ISO 7767:1997,Oxygen monitors for monitoring patient breathing mixtures  Safety requirements,https://www.iso.org/standard/22622.html
,ISO 8185:2007,Respiratory tract humidifiers for medical use  Particular requirements for respiratory humidification systems,https://www.iso.org/standard/38527.html
,ISO 8359:1996 /Amd 1:2012,Oxygen concentrators for medical use  Safety requirements  Amendment 1,https://www.iso.org/standard/60989.html
,ISO 8382:1988,Resuscitators intended for use with humans,https://www.iso.org/standard/15547.html
,ISO 8835-2:2007,Inhalational anaesthesia systems  Part 2: Anaesthetic breathing systems,https://www.iso.org/standard/41114.html
,ISO 8835-3:2007 /Amd 1:2010,Inhalational anaesthesia systems  Part 3: Transfer and receiving systems of active anaesthetic gas scavenging systems  Amendment 1,https://www.iso.org/standard/56123.html
,ISO 8835-4:2004,Inhalational anaesthesia systems  Part 4: Anaesthetic vapour delivery devices,https://www.iso.org/standard/35202.html
,ISO 8835-5:2004,Inhalational anaesthesia systems  Part 5: Anaesthetic ventilators,https://www.iso.org/standard/35203.html
,ISO 8835-7:2011,Inhalational anaesthesia systems  Part 7: Anaesthetic systems for use in areas with limited logistical supplies of electricity and anaesthetic gases,https://www.iso.org/standard/53545.html
,ISO 8836:2019,Suction catheters for use in the respiratory tract,https://www.iso.org/standard/73496.html
,ISO 9170-1:2017,Terminal units for medical gas pipeline systems  Part 1: Terminal units for use with compressed medical gases and vacuum,https://www.iso.org/standard/67451.html
,ISO 9170-2:2008,Terminal units for medical gas pipeline systems  Part 2: Terminal units for anaesthetic gas scavenging systems,https://www.iso.org/standard/42056.html
,ISO 9170:1990,Terminal units for use in medical gas pipeline systems,https://www.iso.org/standard/16768.html
,ISO 9360-1:2000,Anaesthetic and respiratory equipment  Heat and moisture exchangers (HMEs) for humidifying respired gases in humans  Part 1: HMEs for use with minimum tidal volumes of 250 ml,https://www.iso.org/standard/23913.html
,ISO 9360-2:2001,Anaesthetic and respiratory equipment  Heat and moisture exchangers (HMEs) for humidifying respired gases in humans  Part 2: HMEs for use with tracheostomized patients having minimum tidal volumes of 250 ml,https://www.iso.org/standard/30137.html
,ISO 9360:1992,Anaesthetic and respiratory equipment  Heat and moisture exchangers for use in humidifying respired gases in humans,https://www.iso.org/standard/17044.html
,ISO 9703-1:1992,Anaesthesia and respiratory care alarm signals  Part 1: Visual alarm signals,https://www.iso.org/standard/17559.html
,ISO 9703-2:1994,Anaesthesia and respiratory care alarm signals  Part 2: Auditory alarm signals,https://www.iso.org/standard/20809.html
,ISO 9703-3:1998,Anaesthesia and respiratory care alarm signals  Part 3: Guidance on application of alarms,https://www.iso.org/standard/22624.html
,ISO 9918:1993,Capnometers for use with humans  Requirements,https://www.iso.org/standard/17801.html
,ISO 9919:2005,Medical electrical equipment  Particular requirements for the basic safety and essential performance of pulse oximeter equipment for medical use,https://www.iso.org/standard/33780.html
,ISO 10079-1:2022,Medical suction equipment  Part 1: Electrically powered suction equipment,https://www.iso.org/standard/81532.html
,ISO 10079-2:2022,Medical suction equipment  Part 2: Manually powered suction equipment,https://www.iso.org/standard/81533.html
,ISO 10079-3:2022,Medical suction equipment  Part 3: Suction equipment powered from a vacuum or positive pressure gas source,https://www.iso.org/standard/81534.html
,ISO 10079-4:2021,Medical suction equipment  Part 4: General requirements,https://www.iso.org/standard/77571.html
,ISO 10083:2006,Oxygen concentrator supply systems for use with medical gas pipeline systems,https://www.iso.org/standard/32061.html
,ISO 10524-1:2018 /Amd 1:2023,Pressure regulators for use with medical gases  Part 1: Pressure regulators and pressure regulators with flow-metering devices  Amendment 1,https://www.iso.org/standard/86102.html
,ISO 10524-2:2018,Pressure regulators for use with medical gases  Part 2: Manifold and line pressure regulators,https://www.iso.org/standard/66690.html
,ISO 10524-3:2019,Pressure regulators for use with medical gases  Part 3: Pressure regulators integrated with cylinder valves (VIPRs),https://www.iso.org/standard/66691.html
,ISO 10524-4:2008,Pressure regulators for use with medical gases  Part 4: Low-pressure regulators,https://www.iso.org/standard/41931.html
,ISO 10524:1995 /Cor 1:1996,Pressure regulators and pressure regulators with flow-metering devices for medical gas systems  Technical Corrigendum 1,https://www.iso.org/standard/27187.html
