ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
A-A-51636A,A-A-51636A,"Syringe, Fluid Dispensing, 10 Ml (Pharmaceutical)","""Information and documents presented here are works of the U.S. Government and are not subject to copyright protection in the U.S. The source of these documents is the U.S. Department of Defense""",https://webstore.ansi.org/standards/dod/51636a,
A-A-51898,A-A-51898,"Storage Unit, Pharmaceuticals","""Information and documents presented here are works of the U.S. Government and are not subject to copyright protection in the U.S. The source of these documents is the U.S. Department of Defense""",https://webstore.ansi.org/standards/dod/51898,
A-A-53099,A-A-53099,"Rack-Bin Assembly, Pharmaceutical Storage","""Information and documents presented here are works of the U.S. Government and are not subject to copyright protection in the U.S. The source of these documents is the U.S. Department of Defense""",https://webstore.ansi.org/standards/dod/53099,
ADA,ADA White Paper No. 1070-2019 (R2023),Electronic Pharmaceutical Prescription Standard for Dentistry,"""",https://webstore.ansi.org/standards/ada/adawhitepaper10702019r2023,
ANSI/PDA,ANSI/PDA Standard 001-2020,"Enhanced Purchasing Controls to Support the Bio-Pharmaceutical, Pharmaceutical, Medical Devices and Combination Products Industries","""The purpose of this document is to ensure that there is an awareness of the requirements for purchasing controls for a specific material, component, product, or service throughout the product lifecycle and that the responsibility for compliance at all stages is shared throughout the entire organization, with final responsibility falling to the management of the company. Current quality management systems can be made more effective in preventing counterfeit, substandard, or adulterated materials from entering the market and potentially harming patients. The above citations are the minimum requirements that can be exceeded as part of each manufacturer  s internal policies and procedures. Implementation of risk-based processes will better define purchasing controls responsibilities, authorities, and accountabilities. Even though several different organizations have various roles in purchasing controls, including supplier recommendations and selection, an independent Quality Unit must approve all suppliers for purchases that are related to or have an impact on GMP requirements. The procedures shall describe the operating instructions and best practices for manufacturers of FDA-regulated products. It is intended to expand on the requirements already defined under FDA regulations for pharmaceutical products, medical devices, and combination products and ICH guidance. This standard represents current thinking on the topic and should be viewed only as recommendations, unless activities in the standard are specified by a regulatory or statutory requirement. An alternative approach might be appropriate if the approach satisfies the requirements. Therefore, in the USA FDA Medical Device Quality Systems CGMPs, there is an entire section on Management Responsibility (2).""",https://webstore.ansi.org/standards/pda/ansipdastandard0012020,
ANSI/PDA,ANSI/PDA Standard 001-2020,"Enhanced Purchasing Controls to Support the Bio-Pharmaceutical, Pharmaceutical, Medical Devices and Combination Products Industries","""The purpose of this document is to ensure that there is an awareness of the requirements for purchasing controls for a specific material, component, product, or service throughout the product lifecycle and that the responsibility for compliance at all stages is shared throughout the entire organization, with final responsibility falling to the management of the company. Current quality management systems can be made more effective in preventing counterfeit, substandard, or adulterated materials from entering the market and potentially harming patients. The above citations are the minimum requirements that can be exceeded as part of each manufacturer  s internal policies and procedures. Implementation of risk-based processes will better define purchasing controls responsibilities, authorities, and accountabilities. Even though several different organizations have various roles in purchasing controls, including supplier recommendations and selection, an independent Quality Unit must approve all suppliers for purchases that are related to or have an impact on GMP requirements. The procedures shall describe the operating instructions and best practices for manufacturers of FDA-regulated products. It is intended to expand on the requirements already defined under FDA regulations for pharmaceutical products, medical devices, and combination products and ICH guidance. This standard represents current thinking on the topic and should be viewed only as recommendations, unless activities in the standard are specified by a regulatory or statutory requirement. An alternative approach might be appropriate if the approach satisfies the requirements. Therefore, in the USA FDA Medical Device Quality Systems CGMPs, there is an entire section on Management Responsibility (2).""",https://webstore.ansi.org/standards/pda/ansipdastandard0012020,
ANSI/PDA,ANSI/PDA Standard 004-2021,Phage Retention Nomenclature Rating for Small- and Large-Virus Retentive Filters,"""This guide is intended to provide filter suppliers with an approach to standardizing methodology and nomenclature for large- and small-virus retentive filters using bacteriophage as a model. The objective is to
assist users/manufacturers in selecting the most appropriate filter for their specific application needs. It is intended for virus retentive filters used where a viral clearance claim is made. This American National Standard (ANS) is intended to:
   Provide detailed methods and acceptance criteria for testing bacteriophage (also referred to as phage) retention by large- and small-virus retentive filters,
   Provide methods for preparing and enumerating suitable sized bacteriophage (PP7 and PR772 as models for small and large viruses, respectively) as test items, and
   Guide selection of appropriately rated filters as defined by suppliers in a standardized manner using a risk-based approach.

This is not a substitute for process validation for viral clearance claims.""",https://webstore.ansi.org/standards/pda/ansipdastandard0042021,
ANSI/PDA,ANSI/PDA Standard 02-2021,"Cryopreservation of Cells for Use in Cell Therapies, Gene Therapies, and Regenerative Medicine Manufacturing: An Introduction and Best Practices Approach on How to Prepare, Cryopreserve, and Recover Cells, Cell Lines, and Cell-Based Tissue Products","""The purpose of this document is to provide guidance on how to establish suitable procedures for the cryopreservation and recovery of biological cells for use in cell and gene therapy products and regenerative medicine manufacturing either as an intermediate step or when cryopreservation is the final step. This document presents cryopreservation as a modular process and describes key details that should be considered when developing a cryopreservation and recovery process for a specific-use case. The guide emphasizes the effect cryopreservation and recovery may have on cell viability and cell function. Although best practices for users in cell-based product manufacturing are discussed, specific procedures will likely depend on the nature of the biological cells being cryopreserved.""",https://webstore.ansi.org/standards/pda/ansipdastandard022021,
ANSI/PDA,ANSI/PDA Standard 05-2021,Consensus Method for Rating Filters for Mycoplasma Reduction,"""This test method establishes a standardized method for filter manufacturer rating of nominal 0.1 m-rated filter membrane for retention of mycoplasma using 47 mm discs and using A. laidlawii as the test organism. This method may also be used to evaluate mycoplasma retention of any filter intended for that use to determine the degree of removal that filter provides. It is also necessary for the filter manufacturer to validate filter devices that may require testing a wide variety of device sizes and configurations. Validation of the actual filter device is not addressed in this standard test method. Any appropriate end-user validation and/or qualification of 0.1 m- rated filter devices incorporating such membrane is also outside of the scope of this standard. This test is intended to be used by the filter manufacturer to validate a mycoplasma-retentive filter within a manufacturing process and to qualify a filter for a mycoplasma retention claim. Validation of a drug manufacturing process employing such a filter must be done under applicable process-specific conditions.""",https://webstore.ansi.org/standards/pda/ansipdastandard052021,
AS,AS 1807.10-2000,"Cleanrooms, workstations, safety cabinets and pharmaceutical isolators - Methods of test - Determination of air pressure of cleanrooms and pharmaceutical isolators (FOREIGN STANDARD)","""NONE""",https://webstore.ansi.org/standards/sai/1807102000,
AS/NZS,AS/NZS 4184.1:1994,Evaluation and routine testing in medical imaging departments - General aspects (FOREIGN STANDARD),"""Defines test methods to be carried out on equipment and subassemblies of X-ray imaging installations to assess the constancy of functional performance by means of test instrumentation and test devices that are simple to use. It is identical with and reproduced from IEC 1223-1:1993.""",https://webstore.ansi.org/standards/sai/nzs41841994,
AS/NZS,AS/NZS 4184.2.1:1994,Evaluation and routine testing in medical imaging departments - Constancy tests - Film processors (FOREIGN STANDARD),"""Applies to those components of medical X-ray equipment which process radiographic images both on film and by electronic means. It is identical with and reproduced from IEC 1223-2-1:1993.""",https://webstore.ansi.org/standards/sai/nzs41841994-1118517,
AS/NZS,AS/NZS 4184.2.6:1995,Evaluation and routine testing in medical imaging departments - Constancy tests - X-ray equipment for computed tomography (FOREIGN STANDARD),"""Applies to those radiological installations with diagnostic X-ray equipment for computed tomography. It is one of a series of publications intended to assist in the establishment and operation of a quality assurance program in the diagnostic X-ray department. It is identical with and has been reproduced from IEC 1223-2-6:1994.""",https://webstore.ansi.org/standards/sai/nzs41841995-1118522,
AS/NZS,AS/NZS 4184.3.2:1998,Evaluation and routine testing in medical imaging departments - Acceptance tests - Imaging performance of mammographic X-ray equipment (FOREIGN STANDARD),"""Specifies in-service testing procedures to ensure that the image quality of radiograms produced by mammographic X-ray equipment is maintained within required tolerances. This Standard includes an additional local Appendix ZZ, and is based on but not equivalent to and reproduced from IEC 1223-3-2:1996.""",https://webstore.ansi.org/standards/sai/nzs41841998,
AS/NZS,AS/NZS 4580:1999 (R2016),Medical electrical equipment - Digital imaging and communications in medicine (DICOM) - Radiotherapy objects (FOREIGN STANDARD),"""Defines a number of information objects applicable to the domain of radiation oncology to support the transfer of radiotherapy related data between devices within or outside of a radiotherapy department. It is identical with and has been reproduced from IEC 61852:1998.
RECONFIRMATION NOTICE
Technical Committee HE-003 has reviewed the content of this publication and in accordance with Standards Australia procedures for reconfirmation, it has been determined that the publication is still valid and does not require change.
Certain documents referenced in the publication may have been amended since the original date of publication. Users are advised to ensure that they are using the latest versions of such documents as appropriate, unless advised otherwise in this Reconfirmation Notice.
Approved for reconfirmation in accordance with Standards Australia procedures for reconfirmation on 3 March 2016.
Approved for reconfirmation in New Zealand on behalf of the Standards Council of New Zealand on 18 May 2016.
The following are represented on Technical Committee HE-003:
Australasian College of Physical Scientists and Engineers in Medicine
Australian and New Zealand College of Anaesthetists
Australian Chamber of Commerce and Industry
Australian Dental Association
Australian Society of Anaesthetists
Canterbury District Health Board
College of Biomedical Engineering Engineers Australia
Department of Defence (Australian Government)
Engineers Australia
Medical Technology Association of Australia
New Zealand Institute of Healthcare Engineering
Testing Interests (Australia)
Therapeutic Goods Administration
Wairarapa District Health Board
Waitemata District Health Board
Worksafe New Zealand""",https://webstore.ansi.org/standards/sai/nzs45801999r2016,
