ASD Acronym,Designation,Title of Standard,Abstract,Link
ASTM,ASTM C1926-23,Standard Test Method for Measurement of Glass Dissolution Rate Using Stirred Dilute Reactor Conditions on Monolithic Samples,"""Significance and Use 5.1 This test method provides a description of the design of the Stirred Reactor Coupon Analysis (SRCA) apparatus and identifies aspects of the performance of the SRCA tests and interpretation of the test results that must be addressed by the experimenter to provide confidence in the measured dissolution rate. 5.2 The SRCA methods described in this test method can be used to characterize several aspects of glass corrosion that can be included in mechanistic models of long-term durability of glasses, including nuclear waste glasses. 5.3 Depending on the test parameters investigated, the SRCA results can be used to measure the intrinsic dilute glass dissolution rate, as well as the effects of conditions such as temperature, pH, and solution chemistry on the dissolution rate. 5.4 Due to the scalable nature of the method, it is particularly applicable to studies of the impact of glass composition on dilute-condition corrosion. Models of glass behavior can be parameterized by testing glass composition matrices and establishing quantitative structure-property relationships. 5.5 The step heights present on the corroded sample can be measured by a variety of techniques including profilometry (optical or stylus), atomic force microscopy, interferometry or other techniques capable of determining relative depths on a sample surface. The sample can also be interrogated with other techniques such as scanning electron microscopy to characterize the corrosion behavior. These further analyses can determine if the sample corroded homogenously and possible formation of secondary phases or leached layers. Occurrence of these features may impact the accuracy of glass dissolution. This test method does not address these solid-state characterizations. Scope 1.1 This test method describes a test method in which the dissolution rate of a homogenous silicate glass is measured through corrosion of monolithic samples in stirred dilute conditions. 1.2 Although the test method was designed for simulated nuclear waste glass compositions per Guide C1174, the method is applicable to glass compositions for other applications including, but not limited to, display glass, pharmaceutical glass, bioglass, and container glass compositions. 1.3 Various test solutions can be used at temperatures less than 100   C. While the durability of the glass can be impacted by dissolving species from the glass, and thus the test can be conducted in dilute conditions or concentrated condition to determine the impact of such species, care must be taken to avoid, acknowledge, or account for the production of alteration layers which may confound the step height measurements. 1.4 The dissolution rate measured by this test is, by design, an average of all corrosion that occurs during the test. In dilute conditions, glass is assumed to dissolve congruently and the dissolution rate is assumed to be constant. 1.5 Tests are carried out via the placement of the monolithic samples in a large well-mixed volume of solution, achieving a high volume to surface area ratio resulting in dilute conditions with agitation of the solution. 1.6 This test method excludes test methods using powdered glass samples, or in which the reactor solution saturates with time. Glass fibers may be used without a mask if the diameter is known to high accuracy before the test. 1.7 Tests may be conducted with ASTM Type I water (see Specification D1193 and Terminology D1129 ), buffered water or other chemical solutions, simulated or actual groundwaters, biofluids, or other dissolving solutions. 1.8 Tests are conducted with monolithic glass samples with at least a single flat face. Although having two plane-parallel faces is helpful for certain step height measurements, it is not required. The geometric dimensions of the monolith are not required to be known. The reacted monolithic sample is to be analyzed following the reaction to measure a corroded depth to determine dissolution rate. 1.9 Tests may be performed with radioactive samples. However, safety concerns working with radionuclides are not addressed in this test method. 1.10 Data from these tests can be used to determine the value of kinetic rate model parameters needed to predict glass corrosion behavior over long periods of time. For an example, see Practice C1662, section 9.5. 1.11 This test method must be performed in accordance with all quality assurance requirements for acceptance of the data. 1.12 Units   The values stated in SI units are regarded as the standard. Any values given in parentheses are for information only. 1.13 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.14 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Language""",https://www.astm.org/C1926-23.html
ASTM,ASTM C225-85(2022),Standard Test Methods for Resistance of Glass Containers to Chemical Attack,"""Significance and Use 3.1 The solubility of glass in contact with food, beverages, or pharmaceutical products is an important consideration for the safe packaging and storage of such materials. Autoclave conditions are specified since sterilization is often employed for the packaging of the product. It also represents one of the most extreme conditions, particularly of temperature, that containers will ordinarily experience. Any of the three test methods described may be used to establish specifications for conformity to standard values, either as specified by a customer, an agency, or   The United States Pharmacopeia:   3.1.1 Test Method B-A is intended particularly for testing glass containers primarily destined for containment of products with a pH under 5. 3.1.2 Test Method B-W is intended particularly for testing glass containers to be used for products with a pH of 5.0 or over. 3.1.3 Test Method P-W is a hydrolytic autoclave test primarily intended for evaluating samples from untreated glass containers. It is often useful for testing the resistance of containers of too small capacity to permit measurements of solubility on the unbroken article by the B-W test method. Yielding the water resistance of the bulk glass, it can also be used in conjunction with the B-W test method to distinguish whether the internal surface of a container has been treated to improve its durability. 3.2 All three test methods are suitable for specification acceptance. Scope 1.1 These test methods cover the evaluation of the resistance of glass containers to chemical attack. Three test methods are presented, as follows: 1.1.1 Test Method B-A covers autoclave tests at 121   C on bottles partially filled with dilute acid as the attacking medium. 1.1.2 Test Method B-W covers autoclave tests at 121   C on bottles partially filled with distilled water as the attacking medium. 1.1.3 Test Method P-W covers autoclave tests at 121   C on powdered samples with pure water as the attacking medium. 1.2 The values stated in SI units are to be regarded as the standard. The values in parentheses are for information only. 1.3 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.4 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Version""",https://www.astm.org/C0225-85r22.html
ASTM,ASTM D1092-20,Standard Test Method for Measuring Apparent Viscosity of Lubricating Greases,"""Significance and Use 5.1 Apparent viscosity versus shear rate information can be useful in predicting pressure drops in grease distribution systems under steady-state flow conditions at constant temperature. Scope 1.1 This test method covers measurement, in poises, of the apparent viscosity of lubricating greases in the temperature range from  ""54   C to 38   C ( ""65   F to 100   F). Measurements are limited to the range from 25  P to 100  000  P at 0.1  s  ""1 and 1  P to 100  P at 15  000  s  ""1 . Note 1: At very low temperatures the shear rate range may be reduced because of the great force required to force grease through the smaller capillaries. Precision has not been established below 10  s  ""1 . 1.2 This standard uses inch-pound units as well as SI (acceptable metric) units. The values stated first are to be regarded as standard. The values given in parentheses are for information only. The capillary dimensions in SI units in Fig. A1.1 and Fig. A1.2 are standard. 1.3 This test method uses mercury thermometers. WARNING   Mercury has been designated by many regulatory agencies as a hazardous substance that can cause serious medical issues. Mercury, or its vapor, has been demonstrated to be hazardous to health and corrosive to materials. Use caution when handling mercury and mercury-containing products. See the applicable product Safety Data Sheet (SDS) for additional information. The potential exists that selling mercury or mercury-containing products, or both, is prohibited by local or national law. Users must determine legality of sales in their location. The responsible subcommittee, D02.G0, continues to explore alternatives to eventually replace the mercury thermometers. 1.3.1 In addition, temperature measuring devices such as liquid-in-glass thermometers (Specifications E1 and E2251 ), thermocouples, thermistors, or platinum resistance thermometers that provide equivalent or better accuracy and precision, that cover the temperature range for ASTM thermometer 49C, may be used. 1.4 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.5 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. """,https://www.astm.org/D1092-20.html
ASTM,ASTM D127-19,"Standard Test Method for Drop Melting Point of Petroleum Wax, Including Petrolatum","""Significance and Use 5.1 Melting point is a wax property that is of interest to most wax consumers. It can be an indication of the performance properties of the wax. Drop melting point, Test Method D127, is often used to measure the melting characteristics of petrolatums and other high viscosity petroleum waxes. Scope 1.1 This test method covers the determination of the drop melting point of petroleum wax. It is used primarily for petrolatums and other microcrystalline wax. Note 1: Additional methods used for petroleum waxes are Test Method D87 and Test Method D938 . Results obtained may differ, depending on the method used. For pharmaceutical petrolatum, Test Method D127 usually is used. 1.1.1 Test Method A   The dropping point of wax is determined with a mercury in glass thermometer, as stated below in 6.3 . ( Warning   Mercury has been designated by many regulatory agencies as a hazardous substance that can cause serious medical issues. Mercury, or its vapor, has been demonstrated to be hazardous to health and corrosive to materials. Use Caution when handling mercury and mercury-containing products. See the applicable product Safety Data Sheet (SDS) for additional information. The potential exists that selling mercury or mercury-containing products, or both, is prohibited by local or national law. Users must determine legality of sales in their location.) 1.1.2 Test Method B   The dropping point of wax determined in a dropping point cup in an instrument which detects the drop and measures the temperature electronically, with a platinum thermometer instead of with mercury. Mercury has been recognized as a poison and a health hazard. Removing mercury from laboratories is a way of making the measuring process more inherently safe. The instrumental dropping point method has shown to produce results that are close to those determined by the original Test Method D127, Method A. 1.2 The values stated in SI units are to be regarded as the standard. The values given in parentheses are for information only. 1.3 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.4 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Version""",https://www.astm.org/D0127-19.html
ASTM,ASTM D156-23,Standard Test Method for Saybolt Color of Petroleum Products (Saybolt Chromometer Method),"""Significance and Use 5.1 Determination of the color of petroleum products is used mainly for manufacturing control purposes and is an important quality characteristic since color is readily observed by the user of the product. In some cases the color may serve as an indication of the degree of refinement of the material. When the color range of a particular product is known, a variation outside the established range can indicate possible contamination with another product. However, color is not always a reliable guide to product quality and should not be used indiscriminately in product specifications. Scope 1.1 This test method covers the determination of the color of refined oils such as undyed motor and aviation gasoline, jet propulsion fuels, naphthas and kerosine, and, in addition, petroleum waxes and pharmaceutical white oils. Note 1: For determining the color of petroleum products darker than Saybolt Color   ""  16, see Test Method D1500 . 1.2 This test method reports results specific to this test method and recorded as,   Saybolt Color units.   1.3 The values stated in inch-pound units or in SI units and which are not in parentheses are to be regarded as the standard. The values given in parentheses are for information only. Note 2: Oil tubes and apparatus used in this test method have traditionally been marked in inches, (the tube is required to be etched with 1 / 8 in. divisions.) The Saybolt Color Numbers are aligned with inch, 1 / 2 in., 1 / 4 in., and 1 / 8 in. changes in the depth of oil. These fractional inch changes do not readily correspond to SI equivalents and in view of the preponderance of apparatus already in use and marked in inches, the inch/pound unit is regarded as the standard. However the test method does use SI units of length when the length is not directly related to divisions on the oil tube and Saybolt Color Numbers. The test method uses SI units for temperature. 1.4 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.5 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Version""",https://www.astm.org/D0156-23.html
ASTM,ASTM D2983-23,"Standard Test Method for Low-Temperature Viscosity of Automatic Transmission Fluids, Hydraulic Fluids, and Lubricants using a Rotational Viscometer","""Significance and Use 5.1 The low-temperature, low-shear-rate viscosity of automatic transmission fluids, gear oils, torque and tractor fluids, and industrial and automotive hydraulic oils (see Appendix X4 ) are of considerable importance to the proper operation of many mechanical devices. Measurement of the viscometric properties of these oils and fluids at low temperatures is often used to specify their acceptance for service. This test method is used in a number of specifications. 5.2 Initially this test method was developed to determine whether an automatic transmission fluid (ATF) would meet OEM low temperature performance criterion originally defined using a particular model viscometer. 6, 7 The viscosity range covered in the original ATF performance correlation studies was from less than 1000  mPa s to more than 60  000  mPa s. The success of the ATF correlation and the development of this test method has over time been applied to other fluids and lubricants such as gear oils, hydraulic fluids, and so forth. 5.3 Procedures A, B, C, and D of this test method describe how to measure apparent viscosity directly without the errors associated with earlier techniques that extrapolated experimental viscometric data obtained at higher temperatures. Note 1: Low temperature viscosity values obtained by either interpolation or extrapolation of oils may be subject to errors caused by gelation and other forms of non-Newtonian response to spindle speed and torque. 5.4 Procedures A, B, C, and D; If viscosity measurements are difficult to stabilize or a noticeable decrease in viscosity is seen at a constant speed between an initial measurement made during the 5  s to 10  s after the spindle rotation commences and the stabilized measurement between 60  s and 180  s, then this most likely indicates time-dependent, structural breakdown in the fluid. Some formulated fluid types may form wax structures when soaked at or below a certain low temperature which varies among fluids. The rotating spindle of the viscometer can degrade this structure over time, resulting in a decrease in the apparent viscosity at longer measurement times. This can obscure a higher initial viscosity. It is possible that this high initial viscosity may be detrimental to certain machinery, as historically seen in some automatic transmissions. It was the reason for developing this test. 6, 7 It is recommended, that if this phenomenon is observed, the suitability of this fluid for the application is carefully considered. If desired, Test Method D5133 or Test Method D6821 may be used to study the behavior of these fluids. Scope 1.1 This test method covers the use of rotational viscometers with an appropriate torque range and specific spindle for the determination of the low-shear-rate viscosity of automatic transmission fluids, gear oils, hydraulic fluids, and some lubricants. This test method covers the viscosity range of 300  mPa s to 900  000  mPa s 1.2 This test method was previously titled   Low-Temperature Viscosity of Lubricants Measured by Brookfield Viscometer.   In the lubricant industry, D2983 test results have often been referred to as   Brookfield 2 Viscosity   which implies a viscosity determined by this method. 1.3 This test method contains four procedures: Procedure A is used when only an air bath is used to cool samples in preparation for viscosity measurement. Procedure B is used when a mechanically refrigerated programmable liquid bath is used to cool samples in preparation for viscosity measurement. Procedure C is used when a mechanically refrigerated constant temperature liquid bath is used to cool samples by means of a simulated air cell (SimAir) 3 Cell in preparation for viscosity measurement. Procedure D automates the determination of low temperature, low-shear-rate viscosity by utilizing a thermoelectrically heated and cooled temperature-controlled sample chamber along with a programmable rotational viscometer. 1.4 There are multiple precision studies for this test method. 1.4.1 The viscosity data used for the precision studies for Procedures A, B, and C covered a range from 300  mPa s to 170  000  mPa s at test temperatures of   12   C,   26   C, and   40   C. Appendix X5 includes precision data for   55   C test temperature and includes samples with viscosities greater 500  000  mPa s. 1.4.2 The viscosity data used for Procedure D precision study was from 6400  mPa s to 256  000  mPa s at test temperatures of   26   C and   40   C. 1.5 The values stated in SI units are to be regarded as standard. No other units of measurement are included in this standard. 1.5.1 The test method uses the SI unit, milliPascal-second (mPa s), as the unit of viscosity. (1 cP = 1 mPa s). 1.6 WARNING   Mercury has been designated by many regulatory agencies as a hazardous substance that can cause serious medical issues. Mercury, or its vapor, has been demonstrated to be hazardous to health and corrosive to materials. Use Caution when handling mercury and mercury-containing products. See the applicable product Safety Data Sheet (SDS) for additional information. The potential exists that selling mercury or mercury-containing products, or both, is prohibited by local or national law. Users must determine legality of sales in their location. 1.7 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.8 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. """,https://www.astm.org/D2983-23.html
ASTM,ASTM D3103-20,Standard Test Method for Thermal Insulation Performance of Distribution Packages,"""Significance and Use 4.1 This test method is intended for use for evaluating the performance of thermal insulated packaging used for high-value, high-risk materials. This test method may also be used for any product that requires accurate internal package temperature readings while being exposed to a range of external air temperatures. 4.2 Certain items, such as biological materials, pharmaceuticals, diagnostics, and blood products, must be shipped inside temperature-controlled packages. Factors affecting the rate of heat transfer of the package include the insulation of the exterior package, the energy source, and the product payload. 4.3 Because of the variety of factors affecting the performance of a thermally insulated package, testing should be conducted with the actual package whenever possible. When simulated packages are used, special care must be exercised so that the simulated payload and coolant will be as close as possible to the actual packages in temperature and other relevant physical properties. Scope 1.1 This test method covers the determination of the thermal insulation quality of a package and the thermal stability of its contents when exposed to variable ambient temperature conditions. It is suitable for testing packages with various internal energy sources with or without product payloads. 1.2 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. Specific precautionary statements are given in 5.3 . 1.3 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Version""",https://www.astm.org/D3103-20.html
ASTM,ASTM D4169,Standard Practice for Performance Testing of Shipping Containers and Systems,"""Significance and Use

4.1 This practice provides a guide for the evaluation of shipping units in accordance with a uniform system, using established test methods at levels representative of those occurring in actual distribution. The recommended test levels are based on available information on the shipping and handling environment, and current industry/government practice and experience (1-13).6 The tests should be performed sequentially on the same containers in the order given. For use as a performance test, this practice requires that the shipping unit tested remain unopened until the sequence of tests are completed. If used for other purposes, such as package development, it may be useful to open and inspect shipping units at various times throughout the sequence. This may, however, prohibit evaluating the influence of the container closure on container performance.

4.2 For Distribution Cycle 18, as referred to in MIL-STD-2073 1, the use of this practice is defined in subsequent sections identified as DC-18.

Scope

1.1 This practice provides a uniform basis of evaluating, in a laboratory, the ability of shipping units to withstand the distribution environment. This is accomplished by subjecting them to a test plan consisting of a sequence of anticipated hazard elements encountered in various distribution cycles. This practice is not intended to supplant material specifications or existing preshipment test procedures.

1.2 Consider the use of Practice D7386 for testing of packages for single parcel shipments.

1.3 The suitability of this practice for use with hazardous materials has not been determined.

1.4 The values stated in inch-pound units are to be regarded as standard. The values given in parentheses are mathematical conversions to SI units that are provided for information only and are not considered standard.

1.5 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use.

1.6 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee.""",https://www.astm.org/d4169-23e01.html
ASTM,ASTM D5090-20,Standard Practice for Standardizing Ultrafiltration Permeate Flow Performance Data,"""Significance and Use 5.1 During the operation of a UF system, conditions including pressure and temperature can vary, causing permeate flow to change (see Note 1 ). To effectively evaluate system performance, it is necessary to compare permeate flow data at the same conditions. Since data may not always be obtained at the same conditions, it is necessary to convert the UF data obtained at actual conditions to a set of constant conditions, thereby standardizing the data. The user of this practice determines the standard conditions. This practice gives the procedure to standardize UF data on pure water only. Note 1: Feed concentration, crossflow velocity, and both device and total system recovery will also influence permeate rate, especially when operating on other than pure water. This practice does not address those system conditions. 5.2 This practice can be used for systems which contain spiral-wound, tubular, plate and frame, and hollow fiber devices. 5.3 This practice can be used for a single-element or a multi-element system. However, if the UF system is staged, standardize the permeate flow and salt passage for each stage separately. This requires pressure readings at the feed inlet and concentrate outlet of each stage. 5.4 This practice is applicable for UF systems with no significant leaks between the feed/concentrate and permeate streams. 5.5 This practice assumes no significant osmotic pressure differential (Δ ) exists in the UF system under the actual operating conditions. Differential osmotic pressure will reduce the permeate rate relative to operation on pure water. 5.6 The user of this practice should be aware that fouled UF devices will produce less permeate flow than nonfouled devices, and may wish to perform flushing, chemical, or mechanical cleaning, or combination thereof, prior to determining the permeate flow performance of the device. Scope 1.1 This practice covers the standardization of permeate flow for ultrafiltration (UF) systems. 1.2 This practice is applicable to natural waters including brackish waters, seawaters, and ultrapure waters including those used in power generation and microelectronics and pharmaceuticals production. It is not necessarily applicable to waste waters. 1.3 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.4 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Version""",https://www.astm.org/D5090-20.html
ASTM,ASTM D5196-06(2018),Standard Guide for Bio-Applications Grade Water,"""Significance and Use 4.1 The purity of water is relative and is usually characterized by the limits of impurities found in the water as well as by the methods used to prepare and handle the water. Section 7 mentions the suitable methods for water preparation. Scope 1.1 This guide is intended to describe the chemical and biological characteristics of water to be used whenever critical purity is essential to the use intended in laboratory bio-applications, for example, clinical, pharmaceutical, and biomedical. The importance of such a reagent is often underestimated despite the impact that it can have. 1.2 This guide is not intended to be used as a reference in preparing water for injectables. Generally, the appropriate use of this guide may include experiments involving tissue culture, chromatography, mass spectrometry, polymerase chain reaction (PCR), deoxyribonucleic acid (DNA) sequencing, DNA hybridization, electrophoresis, molecular biology or analyses where molecular concentrations of impurities may be important. 1.3 For all the other applications linked to an ASTM method and not bio-sensitive that require purified water, it is recommended that Specification D1193 or Guide D5127 be consulted. 1.4 The values stated in SI units are to be regarded as standard. No other units of measurement are included in this standard. 1.5 This standard does not purport to address all of the safety concerns, if any, associated with its use. It is the responsibility of the user of this standard to establish appropriate safety, health, and environmental practices and determine the applicability of regulatory limitations prior to use. 1.6 This international standard was developed in accordance with internationally recognized principles on standardization established in the Decision on Principles for the Development of International Standards, Guides and Recommendations issued by the World Trade Organization Technical Barriers to Trade (TBT) Committee. Version""",https://www.astm.org/D5196-06r18.html
