ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
BSI,BS IEC 63219,Definition and verification of hearing aid features,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-iec-63219-definition-and-verification-of-hearing-aid-features,
BSI,BS ISO 17822-2,In vitro diagnostic test systems. Nucleic acid amplification-based examination procedures for detection and identification of microbial pathogens - Part 2. Laboratory quality practice guide,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-iso-17822-2-in-vitro-diagnostic-test-systems-nucleic-acid-amplification-based-examination-procedures-for-detection-and-identification-of-microbial-pathogens-part-2-laboratory-quality-practice-guide,
BSI,BS EN 61010-2-061,"AMD1. Safety requirements for electrical equipment for measurement, control and laboratory use - Part 2-061. Particular requirements for laboratory atomic spectrometers with thermal atomization and ionization","""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-61010-2-061-amd1-safety-requirements-for-electrical-equipment-for-measurement-control-and-laboratory-use-part-2-061-particular-requirements-for-laboratory-atomic-spectrometers-with-thermal-atomization-and-ionization,
BSI,BS EN ISO 5832-3,Implants for surgery. Metallic materials - Part 3. Wrought titanium 6-aluminium 4-vanadium alloy,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-5832-3-implants-for-surgery-metallic-materials-part-3-wrought-titanium-6-aluminium-4-vanadium-alloy,
BSI,BS EN ISO 15883-1,"Washer-disinfectors - Part 1. General requirements, terms and definitions and tests","""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-15883-1-washer-disinfectors-part-1-general-requirements-terms-and-definitions-and-tests,
BSI,BS EN ISO 15883-1,"Washer-disinfectors - Part 1. General requirements, terms and definitions and tests","""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-15883-1-washer-disinfectors-part-1-general-requirements-terms-and-definitions-and-tests,
BSI,BS EN ISO 3630-6,Dentistry. Endodontic instruments - Part 6. Numeric coding system,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-3630-6-dentistry-endodontic-instruments-part-6-numeric-coding-system,
BSI,BS EN ISO 22675,Prosthetics. Testing of ankle-foot devices and foot units. Requirements and test methods,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-22675-prosthetics-testing-of-ankle-foot-devices-and-foot-units-requirements-and-test-methods,
BSI,BS EN ISO 18618,Dentistry. Interoperability of CAD/CAM systems,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-18618-dentistry-interoperability-of-cad-cam-systems,
BSI,BS IEC 63322,Security of Medical Electrical Equipment Containing High-Activity Sealed Radioactive Sources,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-iec-63322-security-of-medical-electrical-equipment-containing-high-activity-sealed-radioactive-sources,
BSI,BS ISO 5258,Pandemic response (respiratory). Drive-through screening station,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-iso-5258-pandemic-response-respiratory-drive-through-screening-station,
BSI,BS EN ISO 22683,Dentistry. Adaptability test between implant body and implant abutment in dental implant systems,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iso-22683-dentistry-adaptability-test-between-implant-body-and-implant-abutment-in-dental-implant-systems,
BSI,BS EN IEC 80601-2-71,Medical electrical equipment - Part 2-71. Particular requirements for the basic safety and essential performance of functional near-infrared spectroscopy (NIRS) equipment,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iec-80601-2-71-medical-electrical-equipment-part-2-71-particular-requirements-for-the-basic-safety-and-essential-performance-of-functional-near-infrared-spectroscopy-nirs-equipment,
BSI,BS EN IEC 60601-2-83,AMD1. Medical electrical equipment - Part 2-83. Particular requirements for the basic safety and essential performance of home light therapy equipment,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iec-60601-2-83-amd1-medical-electrical-equipment-part-2-83-particular-requirements-for-the-basic-safety-and-essential-performance-of-home-light-therapy-equipment,
BSI,BS EN IEC 60601-2-75,AMD1. Medical electrical equipment - Part 2-75. Particular requirements for the basic safety and essential performance of photodynamic therapy and photodynamic diagnosis equipment,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iec-60601-2-75-amd1-medical-electrical-equipment-part-2-75-particular-requirements-for-the-basic-safety-and-essential-performance-of-photodynamic-therapy-and-photodynamic-diagnosis-equipment,
BSI,BS EN 60601-2-40,Medical electrical equipment - Part 2-40. Particular requirements for the basic safety and essential performance of electromyographs and evoked response equipment,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-60601-2-40-medical-electrical-equipment-part-2-40-particular-requirements-for-the-basic-safety-and-essential-performance-of-electromyographs-and-evoked-response-equipment,
BSI,BS EN IEC 60601-2-16,"Medical electrical equipment - Part 2-16. Particular requirements for basic safety and essential performance of haemodialysis, haemodiafiltration and haemofiltration equipment","""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iec-60601-2-16-medical-electrical-equipment-part-2-16-particular-requirements-for-basic-safety-and-essential-performance-of-haemodialysis-haemodiafiltration-and-haemofiltration-equipment,
BSI,BS EN IEC 60601-2-39,Medical electrical equipment - Part 2-39. Particular requirements for basic safety and essential performance of peritoneal dialysis equipment,"""Visit the link for more information""",https://knowledge.bsigroup.com/products/bs-en-iec-60601-2-39-medical-electrical-equipment-part-2-39-particular-requirements-for-basic-safety-and-essential-performance-of-peritoneal-dialysis-equipment,
