ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
CEN/TC 392,CEN ISO/TR 19838:2016,Microbiology - Cosmetics - Guidelines for the application of ISO standards on Cosmetic Microbiology (ISO/TR 19838:2016),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:61518,679535&cs=1745467900AF1DF1AF61E212250D35279",
CEN/TC 293,CEN ISO/TR 20342-7:2022,"Assistive products for tissue integrity when lying down - Part 7: Foam properties, characteristics and performance (ISO/TR 20342-7:2021)","""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:73399,6274&cs=1290EF02FA5B345F65CB524BA2BE0834D",
CEN/CLC/JTC 3,CEN ISO/TR 20416:2020,Medical devices - Post-market surveillance for manufacturers (ISO/TR 20416:2020),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:66261,581003&cs=1C74FF1004EE61D5E708B7A16825621DE",
CEN/TC 392,CEN ISO/TR 24475:2013,Cosmetics - Good Manufacturing Practices - General training document (ISO/TR 24475:2010),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:39643,679535&cs=126DAB25A2ABC094377D419AF3925E1BB",
CEN/CLC/JTC 3,CEN ISO/TR 24971:2020,Medical devices - Guidance on the application of ISO 14971 (ISO/TR 24971:2020),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:68576,581003&cs=1A3210403006B1A657CFB47D281BA10E9",
CEN/TC 392,CEN ISO/TR 26369:2009,Cosmetics - Sun protection test methods - Review and evaluation of methods to assess the photoprotection of sun protection products (ISO/TR 26369:2009),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:28843,679535&cs=1E9B03B529959BD1969170DE4AB9A5A9B",
CEN/TC 102,CEN ISO/TS 16775:2021,Packaging for terminally sterilized medical devices - Guidance on the application of ISO 11607-1 and ISO 11607-2 (ISO/TS 16775:2021),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:67841,6085&cs=119990A84B3387D8E40F2BCC43F337758",
CEN/TC 293,CEN ISO/TS 20342-10:2022,"Assistive products for tissue integrity when lying down - Part 10: Guidance to cleaning, disinfecting and care of polyurethane APTI covers (ISO/TS 20342-10:2022)","""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:73737,6274&cs=1FC1F59324B5F0083251BC4FB27DF4F43",
CEN/TC 140,CEN ISO/TS 5798:2022,In vitro diagnostic test systems - Requirements and recommendations for detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by nucleic acid amplification methods (ISO/TS 5798:2022),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:74322,6122&cs=139E512025BD8CF6920492E56B95D6034",
CEN/TC 55,CEN/TR 12401:2009,Dentistry - Guidance on the classification of dental devices and accessories,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:30902,6039&cs=14D9E83C84E63E43AC176B8F304ED1B34",
CEN/TC 205,CEN/TR 15831:2009,Method for testing compression in medical hosiery,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:31027,6186&cs=1233F68F21C7AE6B3E82E173DF7F24AEF",
CEN/TC 55,CEN/TR 16386:2013,Dentistry - Guidelines for handling methacrylate-based materials in the dental laboratory,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:36316,6039&cs=1D40C1191613639DCC1147264EFF44529",
CEN/TC 205,CEN/TR 16953:2017,Medical gloves for single use - Guidance for selection,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:60882,6186&cs=176BC8BB0E0A2F9F4523A0C34B767E660",
CEN/TC 215,CEN/TS 14507-1:2003,Inhalational nitric oxide systems - Part 1: Delivery systems,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:20503,6196&cs=1EB2327FFB8085DE00E8533C1C1179E05",
CEN/TC 215,CEN/TS 14507-2:2003,Inhalational nitric oxide systems - Part 2: Supply systems,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:9994,6196&cs=1C0F32CFBFF9E8B15335B2EF0DAA7FFC7",
CEN/TC 285,CEN/TS 15277:2006,Non-active surgical implants - Injectable implants,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:24210,6266&cs=11EDEE096F4FAF7FED299BC495199DE18",
CEN/TC 140,CEN/TS 17390-1:2020,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for circulating tumor cells (CTCs) in venous whole blood - Part 1: Isolated RNA,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65450,6122&cs=1FCA544718EF8AE6B99DB4EA28369A7B1",
CEN/TC 140,CEN/TS 17390-2:2020,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for circulating tumor cells (CTCs) in venous whole blood - Part 2: Isolated DNA,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65452,6122&cs=1A87A89B06C01CE002D954591C1E66677",
CEN/TC 140,CEN/TS 17390-3:2020,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for circulating tumor cells (CTCs) in venous whole blood - Part 3: Preparations for analytical CTC staining,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:65451,6122&cs=185D5575093D3C30220290570CADCA43B",
CEN/TC 140,CEN/TS 17626:2021,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for human specimen - Isolated microbiome DNA,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:67446,6122&cs=1C5599BECF9A785509229EE4F1E1AA020",
CEN/TC 140,CEN/TS 17688-1:2021,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for Fine Needle Aspirates (FNAs) - Part 1: Isolated cellular RNA,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:67447,6122&cs=19791C4CAB2FABD8F4D9FA016D35391A7",
CEN/TC 140,CEN/TS 17688-2:2021,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for Fine Needle Aspirates (FNAs) - Part 2: Isolated proteins,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:67445,6122&cs=15428779C7F2635FABD72CCD9F9A1EB04",
CEN/TC 140,CEN/TS 17688-3:2021,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for Fine Needle Aspirates (FNAs) - Part 3: Isolated genomic DNA,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:67448,6122&cs=19A2452EF8C1C4BF59ACFE84A1B3B3AF1",
CEN/TC 140,CEN/TS 17742:2022,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for venous whole blood - Isolated circulating cell free RNA from plasma,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:68138,6122&cs=17BE734BBCAC6AAB8917AA1A2B4708F7D",
CEN/TC 140,CEN/TS 17747:2022,"Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for exosomes and other extracellular vesicles in venous whole blood - DNA, RNA and proteins","""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:68137,6122&cs=13E685B5CF1C16891895E8DC709118CF8",
CEN/TC 140,CEN/TS 17811:2022,Molecular in vitro diagnostic examinations - Specifications for pre-examination processes for urine and other body fluids - Isolated cell free DNA,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:67464,6122&cs=1664C31503E9D9EAE491ACDE70BE54946",
CEN/TC 140,CEN/TS 17981-1:2023,In vitro diagnostic Next Generation Sequencing (NGS) workflows - Part 1: Human DNA examination,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:74138,6122&cs=11F881EE3D5C219DB7230CDFB11281232",
CEN/WS EXOSK,CWA 17913:2022,State of the art on the integration process of new physical assistance technologies such as exoskeletons,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:72655,2837624&cs=13892205A5708C125E4060B2A7A8EC1F7",
CEN/TC 216,EN 1040:2005,Chemical disinfectants and antiseptics - Quantitative suspension test for the evaluation of basic bactericidal activity of chemical disinfectants and antiseptics - Test method and requirements (phase 1),"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:24648,6197&cs=1E9A8E63D090D234618145ED4434CD399",
CEN/TC 233,EN 12075:1997,Biotechnology - Large-scale process and production - Procedures for fermentation and downstream processes,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:11262,6214&cs=15C929621A88C23D94DDB9B0B2514FA90",
CEN/TC 233,EN 12128:1998,"Biotechnology - Laboratories for research, development and analysis - Containment levels of microbiology laboratories, areas of risk, localities and physical safety requirements","""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:11234,6214&cs=119A9860E468CBC982C5ED8B3D4A47638",
CEN/TC 293,EN 12183:2022,Manual wheelchairs - Requirements and test methods,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:69593,6274&cs=10594E09DEF1C5B9BA66E627BC4D204C1",
CEN/TC 293,EN 12184:2022,"Electrically powered wheelchairs, scooters and their chargers - Requirements and test methods","""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:69470,6274&cs=109275F6D6A050FC959E7CDB7E0657977",
CEN/TC 233,EN 12296:1998,Biotechnology - Equipment - Guidance on testing procedures for cleanability,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:11264,6214&cs=11353DA1BD3A121141B0CEE730AF3ECFB",
CEN/TC 233,EN 12297:1998,Biotechnology - Equipment - Guidance on testing procedures for sterilizability,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:11265,6214&cs=1A5F4CEFC661A1047E9633265AB9F7F2F",
CEN/TC 233,EN 12298:1998,Biotechnology - Equipment - Guidance on testing procedures for leaktightness,"""Visit the link for more information""","https://standards.cencenelec.eu/dyn/www/f?p=CEN:110:0::::FSP_PROJECT,FSP_ORG_ID:11266,6214&cs=1BA2B8399F374C79D763674F2AC531567",
