ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
FDA,FDA-2022-D-0084,Use of Circulating Tumor Deoxyribonucleic Acid for Early-Stage Solid Tumor Drug Development,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/use-circulating-tumor-deoxyribonucleic-acid-early-stage-solid-tumor-drug-development-guidance
FDA,FDA-2024-D-4643,Assessment of Ovarian Toxicity in Premenopausal Adults During Drug Development for Oncologic Products,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/assessment-ovarian-toxicity-premenopausal-adults-during-drug-development-oncologic-products,
FDA,FDA-2024-D-4540,Recommended Followup Testing for an Ames-Positive Drug (Active Ingredient) or Metabolite To Support First-in-Human Clinical Trials With Healthy Subjects,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommended-followup-testing-ames-positive-drug-active-ingredient-or-metabolite-support-first-human,
FDA,FDA-2024-D-2274,Transitional Enforcement Policy for Ethylene Oxide Sterilization Facility Changes for Class III Devices,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/transitional-enforcement-policy-ethylene-oxide-sterilization-facility-changes-class-iii-devices,
FDA,FDA-2023-D-0488,Orthopedic Non-Spinal Metallic Bone Screws and Washers - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/orthopedic-non-spinal-metallic-bone-screws-and-washers-performance-criteria-safety-and-performance,
FDA,FDA-2019-D-1652,"Orthopedic Non-Spinal Bone Plates, Screws, and Washers - Premarket Notification (510(k)) Submissions:  Guidance for Industry and Food and Drug Administration Staff",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/orthopedic-non-spinal-bone-plates-screws-and-washers-premarket-notification-510k-submissions,
FDA,FDA-2016-D-2565,"510(k) Third Party Review Program and Third Party Emergency Use Authorization (EUA) Review:  Guidance for Industry, Food and Drug Administration Staff, and Third Party Review Organizations",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/510k-third-party-review-program-and-third-party-emergency-use-authorization-eua-review,
FDA,FDA-2024-D-4311,Frequently Asked Questions â€” Developing Potential Cellular and Gene Therapy Products,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/frequently-asked-questions-developing-potential-cellular-and-gene-therapy-products,
FDA,FDA-2024-D-4624,Nonclinical Safety Assessment of Oligonucleotide-Based Therapeutics,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/nonclinical-safety-assessment-oligonucleotide-based-therapeutics,
FDA,FDA-2011-N-0144,Guidance for Industry: FDA's Voluntary Qualified Importer Program,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-fdas-voluntary-qualified-importer-program,
FDA,FDA-2021-D-0367,CPG Sec 540.525 Scombrotoxin (Histamine)-forming Fish and Fishery Products â€“ Decomposition and Histamine (CPG 7108.24),Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-540525-scombrotoxin-histamine-forming-fish-and-fishery-products-decomposition-and-histamine,
FDA,FDA-2014-D-0092,Study Data Technical Conformance Guide - Technical Specifications Document,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/study-data-technical-conformance-guide-technical-specifications-document,
FDA,FDA-2023-D-0093,M13A Bioequivalence for Immediate-Release Solid Oral Dosage Forms,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m13a-bioequivalence-immediate-release-solid-oral-dosage-forms,
FDA,FDA-2024-D-2977,CVM GFI #293 - FDA Enforcement Policy for AAFCO-Defined Animal Feed Ingredients,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-293-fda-enforcement-policy-aafco-defined-animal-feed-ingredients,
FDA,FDA-2023-D-1083,"Guidance for Industry: Insanitary Conditions in the Preparation, Packing, and Holding of Tattoo Inks and the Risk of Microbial Contamination",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/guidance-industry-insanitary-conditions-preparation-packing-and-holding-tattoo-inks-and-risk,
FDA,FDA-2024-D-3903,Drug Interaction Information in Human Prescription Drug and Biological Product Labeling,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/drug-interaction-information-human-prescription-drug-and-biological-product-labeling,
FDA,FDA-2022-D-2061,Review of Drug Master Files in Advance of Certain ANDA Submissions Under GDUFA,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/review-drug-master-files-advance-certain-anda-submissions-under-gdufa,
FDA,FDA-2024-D-3993,"Recommendations for the Development of Blood Collection, Processing, and Storage Systems for the Manufacture of Blood Components Using the Buffy Coat Method",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-development-blood-collection-processing-and-storage-systems-manufacture-blood,
FDA,FDA-2024-D-2732,Postoperative Nausea and Vomiting: Developing Drugs for Prevention,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/postoperative-nausea-and-vomiting-developing-drugs-prevention,
FDA,FDA-2022-D-0112,Core Patient-Reported Outcomes in Cancer Clinical Trials:  Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/core-patient-reported-outcomes-cancer-clinical-trials,
FDA,FDA-2020-D-2303,Considerations for Long-Term Clinical Neurodevelopmental Safety Studies in Neonatal Product Development:  Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-long-term-clinical-neurodevelopmental-safety-studies-neonatal-product-development,
FDA,FDA-2017-D-5868,Requests for Reconsideration at the Division Level Under GDUFA,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/requests-reconsideration-division-level-under-gdufa,
FDA,FDA-2023-D-4095,Endosseous Dental Implants and Endosseous Dental Implant Abutments - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/endosseous-dental-implants-and-endosseous-dental-implant-abutments-performance-criteria-safety-and,
FDA,FDA-2024-D-4409,CVM GFI #284 Using Relative Supersaturation to Support â€œUrinary Tract Healthâ€ Claims for Adult Maintenance Cat Food,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-284-using-relative-supersaturation-support-urinary-tract-health-claims-adult-maintenance-cat,
FDA,FDA-2024-D-4774,Temporary Policies for Compounding Certain Parenteral Drug Products:  Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/temporary-policies-compounding-certain-parenteral-drug-products,
FDA,FDA-2017-D-1105,"Electronic Systems, Electronic Records, and Electronic Signatures in Clinical Investigations:  Questions and Answers",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/electronic-systems-electronic-records-and-electronic-signatures-clinical-investigations-questions,
FDA,FDA-2000-D-0598,Dental Impression Materials - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dental-impression-materials-performance-criteria-safety-and-performance-based-pathway,
FDA,FDA-2024-D-4168,Dental Ceramics - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dental-ceramics-performance-criteria-safety-and-performance-based-pathway,
FDA,FDA-2024-D-4171,Dental Cements - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dental-cements-performance-criteria-safety-and-performance-based-pathway,
FDA,FDA-2024-D-4169,CVM GFI #116 (VICH GL23 (R2)) Studies to Evaluate the Safety of Residues of Veterinary Drugs in Human Food: Genotoxicity Testing (Revision 2),Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-116-vich-gl23-r2-studies-evaluate-safety-residues-veterinary-drugs-human-food-genotoxicity,
FDA,FDA-2024-D-4170,Air Powered Dental Handpieces and Air Motors - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/air-powered-dental-handpieces-and-air-motors-performance-criteria-safety-and-performance-based,
FDA,FDA-2018-D-4115,Clarification of Radiation Control Regulations For Manufacturers of Diagnostic X-Ray Equipment:  Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clarification-radiation-control-regulations-manufacturers-diagnostic-x-ray-equipment,
FDA,FDA-2022-D-0113,Clinical Pharmacology Considerations for Human Radiolabeled Mass Balance Studies,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-considerations-human-radiolabeled-mass-balance-studies,
FDA,FDA-2011-N-0921,"Small Entity Compliance Guide: Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/small-entity-compliance-guide-standards-growing-harvesting-packing-and-holding-produce-human,
FDA,FDA-2002-D-0223,An Acceptable Circular of Information for the Use of Human Blood and Blood Components:  Guidance for Industry,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/acceptable-circular-information-use-human-blood-and-blood-components,
FDA,FDA-2019-D-3805,"The Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/accreditation-scheme-conformity-assessment-asca-program,
FDA,FDA-2019-D-3805,"Biocompatibility Testing of Medical Devices - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program : Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/biocompatibility-testing-medical-devices-standards-specific-information-accreditation-scheme-0,
FDA,FDA-2019-D-3805,"Basic Safety and Essential Performance of Medical Electrical Equipment, Medical Electrical Systems, and Laboratory Medical Equipment - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/basic-safety-and-essential-performance-medical-electrical-equipment-medical-electrical-systems-and-0,
FDA,FDA-2024-D-4165,Chemical Analysis for Biocompatibility Assessment of Medical Devices: Draft Guidance for Industry and Food and Drug Administration Staff,Visit the link for more information,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/chemical-analysis-biocompatibility-assessment-medical-devices,
