ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
ICH,ICH E1,E1 The Extent of Population Exposure to Assess Clinical Safety for Drugs Intended for Long-Term Treatment of Non-Life Threatening Conditions,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E1,
ICH,ICH E10,E10 Choice of Control Group and Related Issues in Clinical Trials,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E10,
ICH,ICH E11(R1),E11(R1) Clinical Investigation of Medicinal Products in the Pediatric Population: Guideline and Addendum,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E11(R1),
ICH,ICH E11A,E11A EWG Paediatric Extrapolation,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E11A,
ICH,ICH E12,E12 Principles for Clinical Evaluation of New Antihypertensive Drugs,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E12,
ICH,ICH E14,E14 The Clinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential for Non-Antiarrhythmic Drugs,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E14,
ICH,ICH E14,E14 Q&As (R3) Questions & Answers: The Clinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential for Non-Antiarrhythmic Drugs,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E14,
ICH,ICH E14/S7B,E14/S7B IWG Questions & Answers: Clinical and Nonclinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E14/S7B,
ICH,ICH E14/S7B IWG, E14/S7B IWG Questions and Answers: Clinical and Nonclinical Evaluation of QT/QTc Interval Prolongation and Proarrhythmic Potential Discussion Group,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E14,
ICH,ICH E15,"E15 Definitions for Genomic Biomarkers, Pharmacogenomics, Pharmacogenetics, Genomic Data and Sample Coding Categories","""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E15,
ICH,ICH E16,"E16 Biomarkers Related to Drug or Biotechnology Product Development: Context, Structure and Format of Qualification Submissions","""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E16,
ICH,ICH E17,E17 General principles for planning and design of Multi-Regional Clinical Trials,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E17,
ICH,ICH E18,E18 Genomic Sampling and Management of Genomic Data,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E18,
ICH,ICH E19,E19 A Selective Approach to Safety Data Collection in Specific Late-Stage Pre-approval or Post-Approval Clinical Trials,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E19,
ICH,ICH E20,E20 EWG Adaptive Clinical Trials,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E20,
ICH,ICH E2A,E2A Clinical Safety Data Management: Definitions and Standards for Expedited Reporting,"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E2A,
ICH,ICH E2B(R3),E2B(R3) Clinical Safety Data Management: Data Elements for Transmission of Individual Case Safety Reports (ICSRs),"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E2B(R3),
ICH,ICH E2B(R3),E2B(R3) EWG/IWG Electronic Transmission of Individual Case Safety Reports (ICSRs),"""Visit the link for more information""",https://www.ich.org/search?searchPhrase=E2B(R3),
