ASD Acronym,Designation,Title of Standard,Abstract,Link,,,
IEC,IEC 60068-2-69:2017+AMD1:2019 CSV,Environmental testing - Part 2-69: Tests - Test Te/Tc: Solderability testing of electronic components and printed boards by the wetting balance (force measurement) method,Edition 3.1,https://webstore.iec.ch/en/iec-search/result?q=IEC 60068-2-69:2017+AMD1:2019 CSV,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60068-2-69:2017+AMD1:2019 CSV,https://webstore.iec.ch/en/iec-search/result?q=IEC 60068-2-69:2017+AMD1:2019 CSV
IEC,IEC 61788-22-2:2021,Superconductivity - Part 22-2: Normal state resistance and critical current measurement - High-TC Josephson junction,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61788-22-2:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61788-22-2:2021
IEC,IEC 60364-4-42:2024,Low-voltage electrical installations - Part 4-42: Protection for safety - Protection against thermal effects,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-4-42:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-4-42:2024
IEC,IEC 61892-4:2019,Mobile and fixed offshore units - Electrical installations - Part 4: Cables,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-4:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-4:2019
IEC,IEC 60079-31:2022 RLV,"Explosive atmospheres - Part 31: Equipment dust ignition protection by enclosure ""t""",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-31:2022 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-31:2022 RLV
IEC,IEC 60331-4:2024,Tests for electric cables under fire conditions ��� Circuit integrity ��� Part 4: Test method for fire with shock at a temperature of at least 830 ��C for cables of rated voltage higher than 1 kV up to and,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60331-4:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60331-4:2024
IEC,IEC 60695-7-3:2011,Fire hazard testing - Part 7-3: Toxicity of fire effluent - Use and interpretation of test results,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-7-3:2011,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-7-3:2011
IEC,IEC 61892-7:2019,Mobile and fixed offshore units - Electrical installations - Part 7: Hazardous areas,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-7:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-7:2019
IEC,IEC 61968-1:2020,Application integration at electric utilities - System interfaces for distribution management - Part 1: Interface architecture and general recommendations,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61968-1:2020,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61968-1:2020
IEC,IEC 62055-31:2022 CMV,"Electricity metering - Payment systems - Part 31: Particular requirements - Static payment meters for active energy (classes 0,5, 1 and 2)",Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62055-31:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62055-31:2022 CMV
IEC,ISO 81714-1:2010,Design of graphical symbols for use in the technical documentation of products - Part 1: Basic rules,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=ISO 81714-1:2010,,,https://webstore.iec.ch/en/iec-search/result?q=ISO 81714-1:2010
IEC,IEC 60034-9:2021 CMV,Rotating electrical machines - Part 9: Noise limits,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-9:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-9:2021 CMV
IEC,IEC 60034-18-1:2022 CMV,Rotating electrical machines - Part 18-1: Functional evaluation of insulation systems - General guidelines,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-1:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-1:2022 CMV
IEC,IEC 60034-18-32:2022 CMV,Rotating electrical machines - Part 18-32: Functional evaluation of insulation systems (Type II) - Electrical endurance qualification procedures for form-wound windings,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-32:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-32:2022 CMV
IEC,IEC 60034-30-1:2025 CMV,Rotating electrical machines - Part 30-1: Efficiency classes of line operated AC motors (IE code),Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-30-1:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-30-1:2025 CMV
IEC,IEC 60050-461:2008,International Electrotechnical Vocabulary (IEV) - Part 461: Electric cables,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60050-461:2008,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60050-461:2008
IEC,IEC 60079-18:2025 CMV,"Explosive atmospheres - Part 18: Equipment protection by encapsulation ""m""",Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-18:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-18:2025 CMV
IEC,IEC 60086-4:2025 CMV,Primary batteries - Part 4: Safety of lithium batteries,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60086-4:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60086-4:2025 CMV
IEC,IEC 60112:2025 CMV,Method for the determination of the proof and the comparative tracking indices of solid insulating materials,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60112:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60112:2025 CMV
IEC,IEC 60146-1-1:2024 CMV,Semiconductor converters - General requirements and line commutated converters - Part 1-1: Specification of basic requirements,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60146-1-1:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60146-1-1:2024 CMV
IEC,IEC 60194-1:2021,"Printed boards design, manufacture and assembly - Vocabulary - Part 1: Common usage in printed board and electronic assembly technologies",Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60194-1:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60194-1:2021
IEC,IEC 60204-32:2023 CMV,Safety of machinery - Electrical equipment of machines - Part 32: Requirements for hoisting machines,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60204-32:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60204-32:2023 CMV
IEC,IEC 60216-1:2025 CMV,Electrical insulating materials - Thermal endurance properties - Part 1: Ageing procedures and evaluation of test results,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-1:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-1:2025 CMV
