ASD Acronym,Designation,Title of Standard,Abstract,Link
IEEE,IEEE 11073-00000,Health informatics-- Point-of-care medical device communication--Framework and overview,"""",https://standards.ieee.org/ieee/11073-00000/3516/
IEEE,IEEE 11073-10101-2019,IEEE Standard for Health informatics--Point-of-care medical device communication - Part 10101: Nomenclature,"""Within the context of the ISO/IEEE 11073 family of standards for point-of-care (POC) and personal health devices (PHD) medical device communication (MDC), this standard provides the nomenclature that supports both the domain information model and service model components of the  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10101/5034/
IEEE,IEEE 11073-10101b-2023,IEEE Standard for Health Informatics--Device Interoperability Part 10101: Foundational--Nomenclature Amendment 1: Additional definitions,"""The scope of this standard is to define a nomenclature for communication of information from point-of-care medical devices. Primary emphasis is placed on acute care medical devices and patient vital signs information. The nomenclature also supports concepts in an object  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10101b/6663/
IEEE,IEEE 11073-10103-2023,"IEEE Standard Health Informatics--Device Interoperability Part 10103: Point‚Äêof‚ÄêCare Medical Device Communication--Nomenclature--Implantable Device, Cardiac","""The base nomenclature provided in IEEE 11073 to support terminology for implantable cardiac devices is extended in this standard. Devices within the scope of this nomenclature are implantable devices such as pacemakers, defibrillators, devices for cardiac resynchronization therapy, and implantable  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10103/10855/
IEEE,IEEE 11073-10201-2018,IEEE Standard for Health Informatics - Point-of-care medical device communication - Part 10201: Domain Information Model,"""Within the context of the ISO/IEEE 11073 family of standards for point-of-care medical device communication, an abstract, object-oriented domain information model that specifies the structure of exchanged information, as well as the events and services that are supported by each  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10201/6847/
IEEE,IEEE 11073-10207-2017,IEEE Health informatics--Point-of-care medical device communication Part 10207: Domain Information and Service Model for Service-Oriented Point-of-Care Medical Device Communication,"""Within the context of the ISO/IEEE 11073  Ñ  family of standards for point-of-care medical device communication, a Participant Model derived from the ISO/IEEE11073-10201 Domain Information Model is provided in this standard. The Participant Model specifies the structure of medical information objects.  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10207/10075/11073-10207/6032/
IEEE,IEEE 11073-10404-2020,IEEE Standard - Health informatics--Personal health device communication Part 10404: Device specialization--Pulse oximeter,"""Within the context of the ISO/IEEE 11073 family of standards for device communication, this standard establishes a normative definition of communication between personal telehealth pulse oximetry devices and compute engines (e.g., cell phones, personal computers, personal health appliances, set top  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10404/6221/
IEEE,IEEE 11073-10406-2023,IEEE Standard for Health Informatics--Device Interoperability Part 10406: Personal Health Device Communication--Device Specialization--Basic Electrocardiography (ECG) (1‚Äê to 3‚Äêlead ECG),"""Within the context of the ISO/IEEE 11073 family of standards for device communication, a normative definition of the communication between personal basic electrocardiograph (ECG) devices and managers (e.g., cell phones, personal computers, personal health appliances, and set-top boxes) in a  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10406/6848/
IEEE,IEEE 11073-10407-2020,IEEE Health informatics--Personal health device communication Part 10407: Device specialization--Blood pressure monitor,"""Within the context of the ISO/IEEE 11073 family of standards for device communication, this standard establishes a normative definition of communication between personal telehealth blood pressure monitor devices and compute engines (e.g., cell phones, personal computers, personal health appliances, and  Access the standard for more information""",https://standards.ieee.org/ieee/11073-10407/11100/11073-10407/6222/
IEEE,IEEE 11073-10408-2019,IEEE Health informatics--Personal health device communication Part 10408: Device specialization--Thermometer,"""Within the context of the ISO/IEEE 11073 family of standards for device communication, this standard establishes a normative definition of communication between personal telehealth thermometer devices and compute engines (e.g., cell phones, personal computers, personal health appliances, and set top  Access the standard for more information Previous 1   Ä  8 9 10 11 12   Ä  21 Next Content Type All Standard Page Project Post Governance Event Initiative Ieee-whitepaper Practice Areas News Reset Categories All Uncategorized Artificial Intelligence Systems, Beyond Standards, Event Previews & Recaps, Healthcare & Life Sciences, IEEE SA News 3D, Artificial Intelligence Systems, Augmented/Virtual Reality, Beyond Standards, Blockchain & DLT, Cloud & Computing, Connectivity & Telecom, COVID-19, Data & Analytics, Energy, Ethics in Technology, Government & Policy, Healthcare & Life Sciences, IEEE SA News, IoT & IIoT, Learning & Education, Manufacturing, Market Collaboration, Mobility, National Electrical Safety Code (NESC), Navigating the Standards Ecosystem, Networking & Internet, News & Articles, Open Source, Privacy & Security, Retail, Robotics & Automation, Sustainable Development, Technology, Videos 3D, Augmented/Virtual Reality, Beyond Standards, COVID-19, IEEE SA News, Manufacturing, Market Collaboration, News & Articles, Retail, Sustainable Development, Technology, Videos 3D, Augmented/Virtual Reality, Beyond Standards, Manufacturing, Market Collaboration, News & Articles, Retail, Sustainable Development, Technology, Videos 3D, Beyond Standards, IEEE SA News, Manufacturing, Market Collaboration, News & Articles, Retail, Sustainable Development, Technology, Videos Artificial Intelligence Systems, Beyond Standards, Event Previews & Recaps, Government & Policy, Healthcare & Life Sciences, IEEE SA News, IoT & IIoT, Privacy & Security Beyond Standards, Event Previews & Recaps, Government & Policy, Healthcare & Life Sciences, IEEE SA News, Privacy & Security, Technology Current Industry Connections Activities, Healthcare & Life Sciences Healthcare and Life Sciences Reset Standards Topics All Healthcare IT Communications Communications,Healthcare IT Electromagnetic Compatibility Computer Technology Communications,Power and Energy Industry Applications,Power and Energy,Healthcare IT Artificial Intelligence (AI) Artificial Intelligence (AI),Computer Technology Blockchain,Healthcare IT Reset LinkedIn Facebook Instagram YouTube X Beyond Standards RSS Feed""",https://standards.ieee.org/ieee/11073-10408/11101/11073-10408/6223/
