ASD Acronym,Designation,Title of Standard,Abstract,Link
ISO,ISO 10001:2018,Quality management  Customer satisfaction  Guidelines for codes of conduct for organizations,,https://www.iso.org/standard/71579.html
ISO,ISO 10002:2018,Quality management  Customer satisfaction  Guidelines for complaints handling in organizations,,https://www.iso.org/standard/71580.html
ISO,ISO 10003:2018,Quality management  Customer satisfaction  Guidelines for dispute resolution external to organizations,,https://www.iso.org/standard/71581.html
ISO,ISO 10004:2018,Quality management  Customer satisfaction  Guidelines for monitoring and measuring,,https://www.iso.org/standard/71582.html
ISO,ISO 10005:2018,Quality management  Guidelines for quality plans,,https://www.iso.org/standard/70398.html
ISO,ISO 10006:2017,Quality management  Guidelines for quality management in projects,,https://www.iso.org/standard/70376.html
ISO,ISO 10007:2017,Quality management  Guidelines for configuration management,,https://www.iso.org/standard/70400.html
ISO,ISO 10008:2022,Quality management  Customer satisfaction  Guidance for business-to-consumer electronic commerce transactions,,https://www.iso.org/standard/80594.html
ISO,ISO 10009:2024,Quality management  Guidance for quality tools and their application,,https://www.iso.org/standard/84157.html
ISO,ISO 10010:2022,Quality management  Guidance to understand evaluate and improve organizational quality culture,,https://www.iso.org/standard/38457.html
ISO,ISO 10012:2003,Measurement management systems  Requirements for measurement processes and measuring equipment,,https://www.iso.org/standard/26033.html
ISO,ISO 10013:2021,Quality management systems  Guidance for documented information,,https://www.iso.org/standard/75736.html
ISO,ISO 10014:2021,Quality management systems  Managing an organization for quality results  Guidance for realizing financial and economic benefits,,https://www.iso.org/standard/75233.html
ISO,ISO 10015:2019,Quality management  Guidelines for competence management and people development,,https://www.iso.org/standard/69459.html
ISO,ISO 10017:2021,Quality management  Guidance on statistical techniques for ISO 9001:2015,,https://www.iso.org/standard/77577.html
ISO,ISO 10018:2020,Quality management  Guidance for people engagement,,https://www.iso.org/standard/69979.html
ISO,ISO 10019:2005,Guidelines for the selection of quality management system consultants and use of their services,,https://www.iso.org/standard/35651.html
ISO,ISO 1004-1:2013,Information processing  Magnetic ink character recognition  Part 1: Print specifications for E13B,,https://www.iso.org/standard/55881.html
ISO,ISO 1004-2:2013,Information processing  Magnetic ink character recognition  Part 2: Print specifications for CMC7,,https://www.iso.org/standard/61228.html
ISO,ISO 10047:2025,Textiles  Determination of surface burning time of fabrics,,https://www.iso.org/standard/90407.html
ISO,ISO 10054:1998,Internal combustion compression-ignition engines  Measurement apparatus for smoke from engines operating under steady-state conditions  Filter-type smokemeter,,https://www.iso.org/standard/18019.html
ISO,ISO 10066:1991,Flexible cellular polymeric materials  Determination of creep in compression,,https://www.iso.org/standard/18035.html
ISO,ISO 10068:2012,Mechanical vibration and shock  Mechanical impedance of the human hand-arm system at the driving point,,https://www.iso.org/standard/53714.html
ISO,ISO 10075-1:2017,Ergonomic principles related to mental workload  Part 1: General issues and concepts terms and definitions,,https://www.iso.org/standard/66900.html
ISO,ISO 10075-2:2024,Ergonomic principles related to mental workload  Part 2: Design principles,,https://www.iso.org/standard/76686.html
ISO,ISO 10075-3:2004,Ergonomic principles related to mental workload  Part 3: Principles and requirements concerning methods for measuring and assessing mental workload,,https://www.iso.org/standard/27571.html
ISO,ISO 10079-2:2022,Medical suction equipment  Part 2: Manually powered suction equipment,,https://www.iso.org/standard/81533.html
ISO,ISO 10079-3:2022,Medical suction equipment  Part 3: Suction equipment powered from a vacuum or positive pressure gas source,,https://www.iso.org/standard/81534.html
ISO,ISO 10079-4:2021,Medical suction equipment  Part 4: General requirements,,https://www.iso.org/standard/77571.html
ISO,ISO 10082:1999,Plastics  Phenolic resins  Classification and test methods,,https://www.iso.org/standard/28610.html
ISO,ISO 10093:2020,Plastics  Fire tests  Standard ignition sources,,https://www.iso.org/standard/79711.html
ISO,ISO 10106:2021,Cork stoppers  Determination of global migration,,https://www.iso.org/standard/78694.html
ISO,ISO 10115:2013,Essential oil of tarragon (Artemisia dracunculus L.),,https://www.iso.org/standard/56159.html
ISO,ISO 10123:2013,Adhesives  Determination of shear strength of anaerobic adhesives using pin-and-collar specimens,,https://www.iso.org/standard/60413.html
ISO,ISO 10130:2009,Cosmetics  Analytical methods  Nitrosamines: Detection and determination of N-nitrosodiethanolamine (NDELA) in cosmetics by HPLC post-column photolysis and derivatization,,https://www.iso.org/standard/45840.html
ISO,ISO 10136-1:1993,Glass and glassware  Analysis of extract solutions  Part 1: Determination of silicon dioxide by molecular absorption spectrometry,,https://www.iso.org/standard/18125.html
ISO,ISO 10136-2:1993,Glass and glassware  Analysis of extract solutions  Part 2: Determination of sodium oxide  and potassium oxide by flame spectrometric methods,,https://www.iso.org/standard/18126.html
ISO,ISO 10136-3:1993,Glass and glasssware  Analysis of extract solutions  Part 3: Determination of calcium oxide  and magnesium oxide  by flame atomic absorption spectrometry,,https://www.iso.org/standard/18127.html
ISO,ISO 10136-4:1993,Glass and glassware  Analysis of extract solutions  Part 4: Determination of aluminium oxide by molecular absorption spectrometry,,https://www.iso.org/standard/18128.html
ISO,ISO 10136-5:1993,Glass and glassware  Analysis of extract solutions  Part 5: Determination of iron(III) oxide by molecular absorption spectrometry and flame atomic absorption spectrometry,,https://www.iso.org/standard/18129.html
ISO,ISO 10136-6:1993,Glass and glassware  Analysis of extract solutions  Part 6: Determination of boron(III) oxide by molecular absorption spectrometry,,https://www.iso.org/standard/18130.html
ISO,ISO 10139-1:2018,Dentistry  Soft lining materials for removable dentures  Part 1: Materials for short-term use,,https://www.iso.org/standard/68195.html
ISO,ISO 10139-2:2016,Dentistry  Soft lining materials for removable dentures  Part 2: Materials for long-term use,,https://www.iso.org/standard/70317.html
ISO,ISO 10142:1996,Carbonaceous materials for use in the production of aluminium  Calcined coke  Determination of grain stability using a laboratory vibration mill,,https://www.iso.org/standard/18136.html
ISO,ISO 10143:2019,Carbonaceous materials for the production of aluminium  Calcined coke for electrodes  Determination of the electrical resistivity of granules,,https://www.iso.org/standard/73944.html
ISO,ISO 10155:1995 /Cor 1:2002,Stationary source emissions  Automated monitoring of mass concentrations of particles  Performance characteristics test methods and specifications  Technical Corrigendum 1,,https://www.iso.org/standard/36481.html
ISO,ISO 10159:2011,Health informatics  Messages and communication  Web access reference manifest,,https://www.iso.org/standard/45841.html
ISO,ISO 10160:2015,Information and documentation  Open Systems Interconnection  Interlibrary Loan Application Service Definition,,https://www.iso.org/standard/66169.html
