ASD Acronym,Designation,Title of Standard,Abstract,Link
ISO,ISO 10993-1:2025,Biological evaluation of medical devices - Part 1,,https://www.iso.org/standard/10993-1
ISO,ISO 15883-6:2026,Washer-disinfectors - Part 6,,https://www.iso.org/standard/86252.html
ISO,ISO/TS 7446:2026,Implementation guidance for biorisk management for laboratories,,https://www.iso.org/standard/82795.html
ISO,ISO/TR 4419:2026,Human-computer interaction in EHR systems to reduce clinician burden,,https://www.iso.org/standard/79925.html
ISO,ISO 17090-4:2026,Public key infrastructure - Digital signatures for healthcare documents,,https://www.iso.org/standard/86410.html
ISO,ISO/TR 18727:2026,Quality management of real-world health data - Case study,,https://www.iso.org/standard/85414.html
ISO,ISO 11986:2026,Contact lenses - Preservative uptake and release,,https://www.iso.org/es/contents/data/standard/09/01/90146.html?browse=tc
ISO,ISO 11987:2026,Contact lenses - Determination of shelf-life,,https://www.iso.org/standard/90147.html
ISO,ISO 16840-6:2026,Wheelchair seating - Changes in seat cushion properties,,https://www.iso.org/standard/89717.html?browse=tc
ISO,ISO 16921-1:2026,Biotechnology - Gene delivery systems - Vocabulary,,https://www.iso.org/standard/84843.html
ISO,ISO/TR 4550:2026,Surface chemical analysis of bacteria and biofilms,,https://www.iso.org/standard/80073.html
ISO,ISO/TS 11353:2026,Detection of nano-object release from mask media,,https://www.iso.org/standard/83823.html
ISO,ISO/TS 21758:2026,Packaging for viscous extracts,,https://www.iso.org/standard/86857.html
ISO,ISO 24976:2026,Pueraria lobata root,,https://www.iso.org/standard/88730.html
ISO,ISO/IEC TS 17021-15:2023,Conformity assessment requirements for bodies providing audit and certification of management systems Part 15: Competence requirements for auditing and certification of management systems for quality in healthcare organizations,,https://www.iso.org/standard/85773.html
