ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
,ISO 13485:2016,Medical devices  Quality management systems  Requirements for regulatory purposes,"ISO 13485:2016 specifies requirements for a quality management system where an organization needs to demonstrate its ability to provide medical devices and related services that consistently meet customer and applicable regulatory requirements. Such organizations can be involved in one or more stages of the life-cycle, including design and development, production, storage and distribution, installation, or servicing of a medical device and design and development or provision of associated activities (e.g. technical support). ISO 13485:2016 can also be used by suppliers or external parties that provide product, including quality management system-related services to such organizations.
Requirements of ISO 13485:2016 are applicable to organizations regardless of their size and regardless of their type except where explicitly stated. Wherever requirements are specified as applying to medical devices, the requirements apply equally to associated services as supplied by the organization.
The processes required by ISO 13485:2016 that are applicable to the organization, but are not performed by the organization, are the responsibility of the organization and are accounted for in the organization's quality management system by monitoring, maintaining, and controlling the processes.
If applicable regulatory requirements permit exclusions of design and development controls, this can be used as a justification for their exclusion from the quality management system. These regulatory requirements can provide alternative approaches that are to be addressed in the quality management system. It is the responsibility of the organization to ensure that claims of conformity to ISO 13485:2016 reflect any exclusion of design and development controls.
If any requirement in Clauses 6, 7 or 8 of ISO 13485:2016 is not applicable due to the activities undertaken by the organization or the nature of the medical device for which the quality management system is applied, the organization does not need to include such a requirement in its quality management system. For any clause that is determined to be not applicable, the organization records the justification as described in 4.2.2.",https://www.iso.org/standard/59752.html,Published
,ISO 14971:2019,Medical devices  Application of risk management to medical devices,"This document specifies terminology, principles and a process for risk management of medical devices, including software as a medical device and in vitro diagnostic medical devices. The process described in this document intends to assist manufacturers of medical devices to identify the hazards associated with the medical device, to estimate and evaluate the associated risks, to control these risks, and to monitor the effectiveness of the controls.
The requirements of this document are applicable to all phases of the life cycle of a medical device. The process described in this document applies to risks associated with a medical device, such as risks related to biocompatibility, data and systems security, electricity, moving parts, radiation, and usability.
The process described in this document can also be applied to products that are not necessarily medical devices in some jurisdictions and can also be used by others involved in the medical device life cycle.
This document does not apply to:
—          decisions on the use of a medical device in the context of any particular clinical procedure; or
—          business risk management.
This document requires manufacturers to establish objective criteria for risk acceptability but does not specify acceptable risk levels.
Risk management can be an integral part of a quality management system. However, this document does not require the manufacturer to have a quality management system in place.
NOTE       Guidance on the application of this document can be found in ISO/TR 24971[9].",https://www.iso.org/standard/72704.html,Published
,ISO 15223-1:2021 /DAmd 1,Medical devices  Symbols to be used with information to be supplied by the manufacturer  Part 1: General requirements  Amendment 1: Addition of defined term for authorized representative and Modified EC REP symbol to not be country or region specific,No Abstract Available,https://www.iso.org/standard/86270.html,Published
,ISO 15223-2:2010,Medical devices  Symbols to be used with medical device labels labelling and information to be supplied  Part 2: Symbol development selection and validation,"ISO 15223-2:2010 specifies a process for developing, selecting and validating symbols for inclusion in ISO 15223-1.
The purpose of ISO 15223-2:2010 is to ensure that symbols included in ISO 15223-1 are readily understood by the target group.
If the symbol validation process detailed in ISO 15223-2:2010 has been complied with, then the residual risks, as defined in ISO 14971 and IEC 62366, associated with the usability of a medical device symbol are presumed to be acceptable, unless there is objective evidence to the contrary.
ISO 15223-2:2010 is not restricted to symbols intended to meet regulatory requirements or specified in regulatory guidelines on labelling.",https://www.iso.org/standard/42343.html,Published
,ISO 15378:2017 /Amd 1:2024,Primary packaging materials for medicinal products  Particular requirements for the application of ISO 9001:2015 with reference to good manufacturing practice (GMP)  Amendment 1: Climate action changes,No Abstract Available,https://www.iso.org/standard/88385.html,Published
,ISO 16142-1:2016,Medical devices  Recognized essential principles of safety and performance of medical devices  Part 1: General essential principles and additional specific essential principles for all non-IVD medical devices and guidance on the selection of standards,"ISO 16142:2016, which includes the essential principles of safety and performance, identifies significant standards and guides that can be used in the assessment of conformity of a medical device to the recognized essential principles that when met, indicate a medical device is safe and performs as intended. This part of ISO 16142 identifies and describes the six general essential principles of safety and performance that apply to all medical devices, including IVD medical devices (in vitro diagnostic).
ISO 16142:2016also identifies and describes the additional essential principles of safety and performance which need to be considered during the design and manufacturing process, which are relevant to medical devices other than IVD medical devices. Future ISO 16142‑2 is intended to identify and describe the essential principles of safety and performance, which need to be considered during the design and manufacturing process of IVD medical devices.
NOTE          During the design process, the manufacturer selects which of the listed design and manufacturing principles apply to the particular medical device and documents the reasons for excluding others.
ISO 16142:2016 is intended for use as guidance by medical device manufacturers, standards development organizations, authorities having jurisdiction, and conformity assessment bodies.",https://www.iso.org/standard/63939.html,Published
,ISO 16142-2:2017,Medical devices  Recognized essential principles of safety and performance of medical devices  Part 2: General essential principles and additional specific essential principles for all IVD medical devices and guidance on the selection of standards,"ISO 16142-2:2017, which includes the essential principles of safety and performance, identifies significant standards and guides that can be used in the assessment of conformity of a medical device to the recognized essential principles that when met, indicate a medical device is safe and performs as intended. This document identifies and describes the six general essential principles of safety and performance (see Table B.1) that apply to all medical devices, including IVD medical devices (in vitro diagnostic).
ISO 16142-2:2017 also identifies and describes the additional essential principles of safety and performance which need to be considered during the design and manufacturing process, which are relevant to IVD medical devices.
NOTE          During the design process, the manufacturer selects which of the listed design and manufacturing principles apply to the particular medical device and documents the reasons for excluding others.
ISO 16142-2:2017 is intended for use as guidance by medical device manufacturers, standards development organizations, authorities having jurisdiction, and conformity assessment bodies.",https://www.iso.org/standard/63940.html,Published
,ISO/TS 19218-2:2012,Medical devices  Hierarchical coding structure for adverse events  Part 2: Evaluation codes,"ISO/TS 19218-2:2012 specifies requirements for a hierarchical coding structure for characterizing the results of the analysis or evaluation of adverse events relating to medical devices. The codes are intended primarily for use by medical device manufacturers and regulatory authorities. They can also be used for coding the results of the analysis or evaluation of events other than those related to death or serious injury, as well as malfunctions that could lead to death or serious injury.
ISO/TS 19218-2:2012 is not intended to be used to decide whether or not an incident is reportable.",https://www.iso.org/standard/55590.html,Published
,ISO/TR 19244:2014,Guidance on transition periods for standards developed by ISO/TC 84  Devices for administration of medicinal products and catheters,"ISO/TR 19244:2014 outlines the recommended transition plans for all the TC 84 standards:

Needle-based Injection systems;
Sharps Injury Protection;
Sharps Containers,
Aerosol Drug Delivery Devices;
Needle-free injection systems;
Syringes;
Needles;
Intravascular Catheters and Ports.",https://www.iso.org/standard/64129.html,Published
,ISO 20069:2019,Guidance for assessment and evaluation of changes to drug delivery systems,"This document provides guidance for assessment and evaluation of planned changes to drug delivery systems that are integral with, packaged with, or cross-labelled for use with a specified medicinal product. This document is applicable to the drug delivery system's lifecycle from registration clinical studies to end-of-life. This document is applicable to the assessment of changes within the following drug delivery systems: 
—     needle-based injection systems for medical use;
—     aerosol drug delivery devices;
—     needle-free injectors for medical use.
NOTE       These are covered by the ISO 11608 series, ISO 20072 and ISO 21649, respectively.
This document might also be useful for assessing and evaluate changes to other drug delivery devices or systems.
Examples of changes that are within the scope of this document include but are not limited to the following:
a)    the same route of administration (e.g. change resulting in including a marketed prefilled syringe to an autoinjector);
b)    changes to the drug delivery system design (e.g. change in configuration or layout of electrical and mechanical components);
c)    changes to the medicinal product that affect the drug delivery system; including the primary container closure (e.g. viscosity, particle size);
d)    changes in production or handling of the drug delivery system (e.g. process scale, manual to automated assembly, glue bond to sonic weld, mould cavitation, sterilization, storage, transportation, work instructions or methods);
e)    changes in component materials or source of supply;
f)     changes in software, including changes related to cybersecurity, encryption and connectivity;
g)    changes in the user interface, including packaging;
h)    changes to labelling and/or instructions for use.
Revisions or additions of software are within the scope of this document. The software can either be integrated into the physical drug delivery system, separate, or both.
The applicability of this document to non-integrated software is relevant to the extent that those software changes can impact the drug delivery system and/or impact how users interact with it.
Depending on the nature of the change, there can be additional assessments and resulting activities, which can be outside the scope of this document.
This document does not provide guidance for defining the objective of the change, nor the various potential opportunities/options for fulfilling this objective.",https://www.iso.org/standard/66945.html,Published
