ASD Acronym,Designation,Title of Standard,Abstract,Link,Published Status
ISO,ISO/TS 4240-1:2023,Fine bubble technology  Environmental applications  Part 1: Inspection method using online particle counter in dissolved air flotation (DAF) plant,"This document specifies the bubble volume concentration and bubble bed depth measurement methods by online particle counter for checking DAF process performance in plant.
The test method of bubble volume concentration is made by measuring bubble size distribution in contact zone of DAF tank and calculating using formula. And bubble bed depth is evaluated by measuring the number of bubbles and particles according to the depth at five points in separation zone of DAF tank.
This document provides the advantages and limitations of using online particle counter in plant.",https://www.iso.org/standard/79845.html,Published
ISO,ISO 4240-2:2024,Fine bubble technology  Environmental applications  Part 2: Test method for evaluating aeration performance of fine bubble jet devices,"This document describes the test methodology to evaluate the aeration performance of fine bubble jet devices based on an evaluation of the mass transfer coefficient of oxygen from gas to water.
It is applicable to evaluate the performance of fine bubble jet devices for aeration purpose.",https://www.iso.org/standard/86054.html,Published
ISO,ISO 7383-1:2024,Fine bubble technology  Evaluation method for determining gas content in fine bubble dispersions in water  Part 1: Oxygen content,"This document specifies evaluation methods for the oxygen content in fine bubble dispersion in water.
Three test methods which are adopted include the optical sensor, the electrochemical probe and the iodometric method. The first two methods have an advantage in availability of in situ and real-time measurement, and high accessibility to commercially available instruments. The last one, composed of a well-established chemical analysis procedure, is advantageous in the situation where the instruments to be used in the first two methods are unavailable.
The detection limits of the electrochemical and optical sensor methods are stated in the instruction manuals of the instruments, in most cases 0,1 mg/l or 0,2 mg/l. The upper limit depends on the specification of the instrument used. Most instruments allow measurement of a supersaturated sample.
Measurement range of the iodometric method is between 0,2 mg/l and 20 mg/l.
NOTE            Chemical analysis methods other than the iodometric method can be applied[1] as an alternative.",https://www.iso.org/standard/82778.html,Published
ISO,ISO 7383-2:2024,Fine bubble technology  Evaluation method for determining gas content in fine bubble dispersions in water  Part 2: Hydrogen content,"This document specifies the evaluation methods for hydrogen content in ultrafine bubble (UFB) dispersions.
The titration (oxidimetry) method can be used as a quick method to estimate the hydrogen content in hydrogen UFB dispersions. The lower limit of detection is 0,1 mg/l, and the range with acceptable accuracy is between 0,2 mg/l and 1,6 mg/l. The existence of oxidizing or reducing substances in dispersions influences measurement accuracy.
The gas chromatographic method features a considerably high accuracy range and lower limit of detection. The existence of UFBs in water does not influence the measurement results. The existence of oxidizing or reducing substances in water does not affect the measurement accuracy either. However, the measurement procedure is time consuming.
NOTE            This document only provides a method for determining hydrogen contents in UFB dispersions and does not involve the specific effects of hydrogen UFB dispersion application.",https://www.iso.org/standard/87077.html,Published
ISO,ISO 7392:2024,Fine bubble technology  Evaluation method for determining surface tension of ultrafine bubble dispersions,"This document specifies evaluation methods for surface tension of ultrafine bubble (UFB) dispersion in water.
Three test methods, Wilhelmy, du Noüy and the pendant drop method, are adopted because of their advantages to detect small change in surface tension by UFB dispersion in water and the high accessibility to commercially available instruments.
This document can be used to measure the surface tension of liquid containing UFB dispersion in dilute surfactant water solution such as detergent or machining coolant as well as UFB dispersion in water.
NOTE            Measurement data of liquid containing UFB dispersion in dilute surfactant water solution are summarized in Annex D.",https://www.iso.org/standard/82780.html,Published
ISO,ISO 7428-1:2024,Fine bubble technology  Domestic applications  Part 1: Assessment of showerhead devices by evaluating size and concentration indices of generated fine bubbles,"This document specifies the evaluation method for size and concentration indices of fine bubbles generated from the fine bubble showerhead device. It is only applicable to fine bubble dispersion in water generated from fine bubble showerhead devices using air. It describes the sampling method for fine bubble dispersion in water from the fine bubble showerhead devices into the retention container and the measurement procedure of size and concentration indices.
NOTE            The discharging drive force for fine bubble showerhead devices is applied using a pump or water pressure. Therefore, the test of the subject device is performed under environmental conditions including such a practical environment.",https://www.iso.org/standard/82782.html,Published
ISO,ISO 7429-1:2024,Fine bubble technology  Industrial and consumer device applications  Part 1: Assessment of water pressure driven nozzles by evaluating size and concentration indices of generated fine bubbles,"This document specifies the evaluation methods for size and concentration indices of fine bubbles (FBs) generated through a nozzle. It only applies to FB dispersions (FBDs) in water generated through the nozzle. It describes the sampling method for a FBD from the nozzle into the retention container and the measurements of size and concentration indices.
Major applications of the equipment include components of various industrial water systems and consumer baths and kitchens.",https://www.iso.org/standard/82783.html,Published
ISO,ISO/TS 11899-1:2023,Fine bubble technology  Transportation and dispensing systems for agro- and aqua-cultural applications  Part 1: Ultrafine bubble concentration loss in ultrafine bubble water passing through long-distance plastic pipes,"This document specifies a test procedure, equipment and environment for evaluating the concentration loss of ultrafine bubbles (UFB) due to long-distance transfer of ultrafine bubble water in a plastic pipe. The test results are analysed and expressed in terms of a formula with the flow parameters, pipe length, flow velocity and number of circulations through the pipe. The formula is intended to be used for designing long-distance transport system for industrial applications including agro- and aqua- farming.",https://www.iso.org/standard/83927.html,Published
ISO,ISO 20298-1:2018,Fine bubble technology  Sampling and sample preparation for measurement  Part 1: Ultrafine bubble dispersion in water,"This document specifies procedures and requirements for sampling and sample preparation of ultrafine bubble dispersions in water. 
This document is applicable to relatively stable dispersions where the size and number of bubbles are relatively constant for the duration of the sampling, sample preparation and measurement.
This document is not applicable to less stable fine bubble dispersions or microbubble dispersions.",https://www.iso.org/standard/67588.html,Published
ISO,ISO 20304-1:2020,Fine bubble technology  Water treatment applications  Part 1: Test method for evaluating ozone fine bubble water generating systems by the decolorization of methylene blue,This document specifies a test method to assess the performance of ozone fine bubble water generating systems used for decolorizing water-soluble dye in e.g. wastewater and industrial water. This document does not address the impact of ozone on health and environment.,https://www.iso.org/standard/75572.html,Published
