ASD Acronym,Designation,Title of Standard,Abstract,Link
nan,ISO/TR 19244:2014,Guidance on transition periods for standards developed by ISO/TC 84  Devices for administration of medicinal products and catheters,"ISO/TR 19244:2014 outlines the recommended transition plans for all the TC 84 standards:Needle-based Injection systems;Sharps Injury Protection;Sharps Containers,Aerosol Drug Delivery Devices;Needle-free injection systems;Syringes;Needles;Intravascular Catheters and Ports.",https://www.iso.org/standard/64129.html
nan,ISO 20069:2019,Guidance for assessment and evaluation of changes to drug delivery systems,"This document provides guidance for assessment and evaluation of planned changes to drug delivery systems that are integral with, packaged with, or cross-labelled for use with a specified medicinal product. This document is applicable to the drug delivery system's lifecycle from registration clinical studies to end-of-life. This document is applicable to the assessment of changes within the following drug delivery systems:—     needle-based injection systems for medical use;—     aerosol drug delivery devices;—     needle-free injectors for medical use.NOTE       These are covered by the ISO 11608 series, ISO 20072 and ISO 21649, respectively.This document might also be useful for assessing and evaluate changes to other drug delivery devices or systems.Examples of changes that are within the scope of this document include but are not limited to the following:a)    the same route of administration (e.g. change resulting in including a marketed prefilled syringe to an autoinjector);b)    changes to the drug delivery system design (e.g. change in configuration or layout of electrical and mechanical components);c)    changes to the medicinal product that affect the drug delivery system; including the primary container closure (e.g. viscosity, particle size);d)    changes in production or handling of the drug delivery system (e.g. process scale, manual to automated assembly, glue bond to sonic weld, mould cavitation, sterilization, storage, transportation, work instructions or methods);e)    changes in component materials or source of supply;f)     changes in software, including changes related to cybersecurity, encryption and connectivity;g)    changes in the user interface, including packaging;h)    changes to labelling and/or instructions for use.Revisions or additions of software are within the scope of this document. The software can either be integrated into the physical drug delivery system, separate, or both.The applicability of this document to non-integrated software is relevant to the extent that those software changes can impact the drug delivery system and/or impact how users interact with it.Depending on the nature of the change, there can be additional assessments and resulting activities, which can be outside the scope of this document.This document does not provide guidance for defining the objective of the change, nor the various potential opportunities/options for fulfilling this objective.",https://www.iso.org/standard/66945.html
nan,ISO/TR 20416:2020,Medical devices  Post-market surveillance for manufacturers,"This document provides guidance on the post-market surveillance process and is intended for use by medical device manufacturers. This post-market surveillance process is consistent with relevant international standards, in particular ISO 13485 and ISO 14971. This document describes a proactive and systematic process that manufacturers can use to collect and analyse appropriate data, to provide information for the feedback processes and use this to meet applicable regulatory requirements to gain experience from the post-production activities. The output of this process can be used:—     as input into product realization;—     as input into risk management;—     for monitoring and maintaining product requirements;—     for communicating to regulatory authorities; or—     as input into improvement processes.This document does not address market surveillance activities to be performed by regulatory authorities. Neither does it specify a manufacturer's actions required by the applicable regulatory requirements resulting from their production or post-production activities, nor reporting to regulatory authorities. This document is not intended to replace or change applicable regulatory requirements for post-market surveillance.",https://www.iso.org/standard/67942.html
nan,ISO 20417:2021,Medical devices  Information to be supplied by the manufacturer,"NOTE 1        There is guidance or rationale for this Clause contained in Clause A.2.This document specifies the requirements forinformation supplied by the manufacturerfor amedical deviceor by themanufacturerfor anaccessory, as defined in 3.1. This document includes the generally applicable requirements for identification andlabelson amedical deviceoraccessory, the packaging,markingof amedical deviceoraccessory,andaccompanying information. This document does not specify the means by which the information is to be supplied.NOTE 2        Someauthorities having jurisdictionimpose different requirements for the identification,markingand documentation of amedical deviceoraccessory.Specific requirements ofmedical deviceproduct standardsorgroup standardstake precedence over requirements of this document.",https://www.iso.org/standard/67943.html
nan,ISO/TR 80001-2-6:2014,Application of risk management for IT-networks incorporating medical devices  Part 2-6: Application guidance  Guidance for responsibility agreements,"ISO/TR 80001-2-6:2014 provides guidance on implementing RESPONSIBILITY AGREEMENTS, which are described in IEC 80001-1 as used to establish the roles and responsibilities among the stakeholders engaged in the incorporation of a MEDICAL DEVICE into an IT-NETWORK in order to support compliance to IEC 80001-1. Stakeholders may include RESPONSIBLE ORGANIZATIONS, IT suppliers, MEDICAL DEVICE manufacturers and others. The goal of the RESPONSIBILITY AGREEMENT is that these roles and responsibilities should cover the complete lifecycle of the resulting MEDICAL IT-NETWORK.",https://www.iso.org/standard/63108.html
nan,ISO/TR 80001-2-7:2015,Application of risk management for IT-networks incorporating medical devices  Application guidance  Part 2-7: Guidance for healthcare delivery organizations (HDOs) on how to self-assess their conformance with IEC 80001-1,ISO/TR 80001-2-7:2015 is to provide guidance to HDOs on self-assessment of their conformance against IEC 80001‑1.,https://www.iso.org/standard/63509.html
nan,ISO/TR 80002-2:2017,Medical device software  Part 2: Validation of software for medical device quality systems,"ISO/TR 80002-2:2017 applies to any software used in device design, testing, component acceptance, manufacturing, labelling, packaging, distribution and complaint handling or to automate any other aspect of a medical device quality system as described in ISO 13485.ISO/TR 80002-2:2017 applies to-      software used in the quality management system,-      software used in production and service provision, and-      software used for the monitoring and measurement of requirements.It does not apply to-      software used as a component, part or accessory of a medical device, or-      software that is itself a medical device.",https://www.iso.org/standard/60044.html
nan,ISO 32:1977,Gas cylinders for medical use  Marking for identification of content,"Cancels and replaces ISO recommendation R 32-1957, and its amendment 1-1966. Establishes a system of marking and a series of colours for the identification of the content of gas cylinders. In the case of gas mixtures, the cylinder shall bear the appropriate colours for the gases comprising the mixture, such colours to be visible from the valve end.",https://www.iso.org/standard/3659.html
nan,ISO 5366:2016,Anaesthetic and respiratory equipment  Tracheostomy tubes and connectors,"ISO 5366:2016 specifies requirements for adult and paediatric tracheostomy tubes and connectors. Such tubes are primarily designed for patients who require anaesthesia, artificial ventilation or other respiratory support.ISO 5366:2016 is also applicable to specialized tracheostomy tubes that share common attributes, for example, those without a connector at the machine end intended for spontaneously breathing patients and those with reinforced walls or tubes made of metal or tubes with shoulders, tapering tubes, tubes with provision for suctioning or monitoring or delivery of drugs or other gases.Flammability of tracheostomy tubes is a well recognized hazard (for example, when electrosurgical units or lasers are used with flammable anaesthetic agents in oxidant-enriched atmospheres) that is addressed by appropriate clinical management and is outside the scope of this International Standard.NOTE          ISO/TR 11991 gives guidance on avoidance of airway fires.",https://www.iso.org/standard/62242.html
nan,ISO 8835-7:2011,Inhalational anaesthesia systems  Part 7: Anaesthetic systems for use in areas with limited logistical supplies of electricity and anaesthetic gases,"ISO 8835-7:2011 specifies safety and performance requirements for anaesthetic systems and components that:·         can function in the absence of a supply of compressed medical gases or mains electricity;·         can withstand a challenging environment, including high temperatures, humidity, shocks and vibration, and dust;·         allow local servicing and maintenance;·         may be suitable for use with flammable anaesthetic agents.",https://www.iso.org/standard/53545.html
